Pays;Ville;Etablissement;Cote;Lien IIIF
France;Angers;Musée des Beaux-Arts;2003.1.075;https://bvmm.irht.cnrs.fr/iiif/1387/manifest
France;Angers;Musée des Beaux-Arts;2003.1.076;https://bvmm.irht.cnrs.fr/iiif/1411/manifest
France;Angers;Musée des Beaux-Arts;2003.1.085;https://bvmm.irht.cnrs.fr/iiif/1388/manifest
France;Angers;Musée des Beaux-Arts;2003.1.784;https://bvmm.irht.cnrs.fr/iiif/1397/manifest
France;Angers;Musée des Beaux-Arts;2003.1.785;https://bvmm.irht.cnrs.fr/iiif/1399/manifest
France;Angers;Musée des Beaux-Arts;2003.1.786;https://bvmm.irht.cnrs.fr/iiif/1400/manifest
France;Angers;Musée des Beaux-Arts;2003.1.787;https://bvmm.irht.cnrs.fr/iiif/1398/manifest
France;Angers;Musée des Beaux-Arts;2003.1.788;https://bvmm.irht.cnrs.fr/iiif/1390/manifest
France;Angers;Musée des Beaux-Arts;2003.1.789;https://bvmm.irht.cnrs.fr/iiif/1389/manifest
France;Angers;Musée des Beaux-Arts;impr. 2003.1.078;https://bvmm.irht.cnrs.fr/iiif/1372/manifest
France;Argentan;Bibliothèque municipale;0027;https://bvmm.irht.cnrs.fr/iiif/4257/manifest
France;Arras;Bibliothèque municipale;0366 (0212);https://bvmm.irht.cnrs.fr/iiif/23957/manifest
France;Arras;Bibliothèque municipale;0377 (0783);https://bvmm.irht.cnrs.fr/iiif/24316/manifest
France;Arras;Bibliothèque municipale;0384 (0232);https://bvmm.irht.cnrs.fr/iiif/23962/manifest
France;Arras;Bibliothèque municipale;0779 (0778);https://bvmm.irht.cnrs.fr/iiif/24217/manifest
France;Arras;Bibliothèque municipale;0898 (0226);https://bvmm.irht.cnrs.fr/iiif/23976/manifest
France;Arras;Bibliothèque municipale;0900 (0235);https://bvmm.irht.cnrs.fr/iiif/23977/manifest
France;Arras;Bibliothèque municipale;1051 (0233);https://bvmm.irht.cnrs.fr/iiif/24000/manifest
France;Arras;Bibliothèque municipale;1135 (0219);https://bvmm.irht.cnrs.fr/iiif/24001/manifest
France;Auch;Bibliothèque municipale;impr. 1064;https://bvmm.irht.cnrs.fr/iiif/1188/manifest
France;Autun;Bibliothèque de la Société Eduenne;Album Bulliot, n° 05;https://bvmm.irht.cnrs.fr/iiif/22886/manifest
France;Autun;Bibliothèque de la Société Eduenne;Album Bulliot, n° 31;https://bvmm.irht.cnrs.fr/iiif/22909/manifest
France;Autun;Bibliothèque de la Société Eduenne;M 004;https://bvmm.irht.cnrs.fr/iiif/22834/manifest
France;Autun;Bibliothèque municipale;S 119 (099 A);https://bvmm.irht.cnrs.fr/iiif/22185/manifest
France;Autun;Bibliothèque municipale;269;https://bvmm.irht.cnrs.fr/iiif/22734/manifest
France;Autun;Bibliothèque municipale;impr. SR 347;https://bvmm.irht.cnrs.fr/iiif/22744/manifest
France;Autun;Bibliothèque municipale;Legs Chevalier n° 15;https://bvmm.irht.cnrs.fr/iiif/12718/manifest
France;Autun;Bibliothèque municipale;S 190;https://bvmm.irht.cnrs.fr/iiif/22758/manifest
France;Autun;Bibliothèque municipale;S 191;https://bvmm.irht.cnrs.fr/iiif/22759/manifest
France;Autun;Bibliothèque municipale;S 192;https://bvmm.irht.cnrs.fr/iiif/22760/manifest
France;Autun;Bibliothèque municipale;S 196 (2);https://bvmm.irht.cnrs.fr/iiif/22772/manifest
France;Autun;Musée Rolin;SE 207;https://bvmm.irht.cnrs.fr/iiif/22993/manifest
France;Auxerre;Trésor de la cathédrale;n°010;https://bvmm.irht.cnrs.fr/iiif/24141/manifest
France;Auxerre;Trésor de la cathédrale;n°011;https://bvmm.irht.cnrs.fr/iiif/24147/manifest
France;Auxerre;Trésor de la cathédrale;n°012;https://bvmm.irht.cnrs.fr/iiif/24142/manifest
France;Auxerre;Trésor de la cathédrale;n°014;https://bvmm.irht.cnrs.fr/iiif/24144/manifest
France;Auxerre;Trésor de la cathédrale;n°015;https://bvmm.irht.cnrs.fr/iiif/24145/manifest
France;Auxerre;Trésor de la cathédrale;n°016;https://bvmm.irht.cnrs.fr/iiif/24153/manifest
France;Auxerre;Trésor de la cathédrale;n°017;https://bvmm.irht.cnrs.fr/iiif/24154/manifest
France;Auxerre;Trésor de la cathédrale;n°018;https://bvmm.irht.cnrs.fr/iiif/24155/manifest
France;Auxerre;Trésor de la cathédrale;n°019;https://bvmm.irht.cnrs.fr/iiif/24156/manifest
France;Auxerre;Trésor de la cathédrale;n°020;https://bvmm.irht.cnrs.fr/iiif/24148/manifest
France;Avranches;Bibliothèque municipale;FP ms. 0001;https://bvmm.irht.cnrs.fr/iiif/4387/manifest
France;Avranches;Bibliothèque municipale;FP ms. 0002;https://bvmm.irht.cnrs.fr/iiif/4385/manifest
France;Avranches;Bibliothèque municipale;FP ms. 0003;https://bvmm.irht.cnrs.fr/iiif/4386/manifest
France;Avranches;Bibliothèque municipale;inv. 094.1.1;https://bvmm.irht.cnrs.fr/iiif/17953/manifest
France;Bayeux;Bibliothèque du chapitre;0080;https://bvmm.irht.cnrs.fr/iiif/3468/manifest
France;Beaune;Archives hospitalières;impr. Layette 123, 07;https://bvmm.irht.cnrs.fr/iiif/23169/manifest
France;Beaune;Archives hospitalières;impr. Layette 123, 08;https://bvmm.irht.cnrs.fr/iiif/23173/manifest
France;Beaune;Archives hospitalières;Layette 122, 03;https://bvmm.irht.cnrs.fr/iiif/23191/manifest
France;Beaune;Archives hospitalières;Layette 122, 06;https://bvmm.irht.cnrs.fr/iiif/23172/manifest
France;Beaune;Archives hospitalières;Layette 122, 09;https://bvmm.irht.cnrs.fr/iiif/23167/manifest
France;Beaune;Archives hospitalières;Layette 123, 04;https://bvmm.irht.cnrs.fr/iiif/23168/manifest
France;Beaune;Archives hospitalières;Layette 123, 05;https://bvmm.irht.cnrs.fr/iiif/23171/manifest
France;Beaune;Archives hospitalières;Layette 123, 06;https://bvmm.irht.cnrs.fr/iiif/23170/manifest
France;Beaune;Bibliothèque municipale;039 (038);https://bvmm.irht.cnrs.fr/iiif/23069/manifest
France;Beaune;Bibliothèque municipale;045 (044);https://bvmm.irht.cnrs.fr/iiif/23094/manifest
France;Beaune;Bibliothèque municipale;053 (052);https://bvmm.irht.cnrs.fr/iiif/23077/manifest
France;Beaune;Bibliothèque municipale;054 (053);https://bvmm.irht.cnrs.fr/iiif/23082/manifest
France;Beaune;Bibliothèque municipale;055 (054);https://bvmm.irht.cnrs.fr/iiif/23083/manifest
France;Beaune;Bibliothèque municipale;059 (058);https://bvmm.irht.cnrs.fr/iiif/23084/manifest
France;Beaune;Bibliothèque municipale;060 (059);https://bvmm.irht.cnrs.fr/iiif/23085/manifest
