"Manuscript H-ID","repository_key (Organisation) H-ID","Short name / acronym",Country(ies),idno,"iiif manifest",Digitization-type
740545,740537,"Plzeň, Knihovna Západočeského muzea v Plzni","Czech Republic","510 B 029",https://collectiones.manuscriptorium.com/assorted/AIPDIG/ZMP___/8/AIPDIG-ZMP___510_B_029___1ZSXKN8-cs/,
740546,740537,"Plzeň, Knihovna Západočeského muzea v Plzni","Czech Republic","510 B 050c",https://collectiones.manuscriptorium.com/assorted/AIPDIG/ZMP___/A/AIPDIG-ZMP___510_B_050C__36ULJDA-cs/,
740547,740537,"Plzeň, Knihovna Západočeského muzea v Plzni","Czech Republic","510 B 034",https://collectiones.manuscriptorium.com/assorted/AIPDIG/ZMP___/4/AIPDIG-ZMP___510_B_034___0CWE204-cs/,
740548,740537,"Plzeň, Knihovna Západočeského muzea v Plzni","Czech Republic","510 A 031",https://collectiones.manuscriptorium.com/assorted/AIPDIG/ZMP___/B/AIPDIG-ZMP___510_A_031___0M3BNXB-cs/,
740549,740537,"Plzeň, Knihovna Západočeského muzea v Plzni","Czech Republic","510 A 030",https://collectiones.manuscriptorium.com/assorted/AIPDIG/ZMP___/D/AIPDIG-ZMP___510_A_030___1GONGKD-cs/,
740551,740244,"Brno, Moravská zemská knihovna v Brně","Czech Republic",RKP-0820.800,https://collectiones.manuscriptorium.com/assorted/MZK___/MZKB__/E/MZK___-MZKB__RKP_0820_8002N0XE2E-xx/,
740564,740537,"Plzeň, Knihovna Západočeského muzea v Plzni","Czech Republic","510 B 025",https://collectiones.manuscriptorium.com/assorted/AIPDIG/ZMP___/3/AIPDIG-ZMP___510_B_025___24LUT13-cs/,
740572,740498,"Praha, Národní knihovna České republiky","Czech Republic","Osek 64",https://collectiones.manuscriptorium.com/assorted/AIPDIG/NKCR__/0/AIPDIG-NKCR__OSEK_64_____46OT3V0-cs/,
740574,740498,"Praha, Národní knihovna České republiky","Czech Republic",Osek.65,https://collectiones.manuscriptorium.com/assorted/AIPDIG/NKCR__/6/AIPDIG-NKCR__OSEK_65_____2BVE4Y6-cs/,
740579,740498,"Praha, Národní knihovna České republiky","Czech Republic",XXIII.F.197,https://collectiones.manuscriptorium.com/assorted/AIPDIG/NKCR__/5/AIPDIG-NKCR__XXIII_F_197_076XW55-cs/,
740581,740498,"Praha, Národní knihovna České republiky","Czech Republic",XXIII.G.88,https://collectiones.manuscriptorium.com/assorted/AIPDIG/NKCR__/4/AIPDIG-NKCR__XXIII_G_88__1DIC1Y4-cs/,
740583,740498,"Praha, Národní knihovna České republiky","Czech Republic",XXIII.G.89,https://collectiones.manuscriptorium.com/assorted/AIPDIG/NKCR__/2/AIPDIG-NKCR__XXIII_G_89__0Z55E72-cs/,
740585,740498,"Praha, Národní knihovna České republiky","Czech Republic","Teplá Ms.c.87",https://collectiones.manuscriptorium.com/assorted/AIPDIG/NKCR__/B/AIPDIG-NKCR__TEPLAMSC87__3NKPE4B-cs/,
740587,740498,"Praha, Národní knihovna České republiky","Czech Republic",XIII.H.3i,https://collectiones.manuscriptorium.com/assorted/AIPDIG/NKCR__/5/AIPDIG-NKCR__XIII_H_3I___47Z8WS5-cs/,
740592,740498,"Praha, Národní knihovna České republiky","Czech Republic",XIII.H.3b,https://collectiones.manuscriptorium.com/assorted/AIPDIG/NKCR__/D/AIPDIG-NKCR__XIII_H_3B___1QTPACD-cs/,
740595,740498,"Praha, Národní knihovna České republiky","Czech Republic",Osek.70,https://collectiones.manuscriptorium.com/assorted/AIPDIG/NKCR__/8/AIPDIG-NKCR__OSEK_70_____45B18U8-cs/,
740597,740498,"Praha, Národní knihovna České republiky","Czech Republic",VI.G.14,https://collectiones.manuscriptorium.com/assorted/AIPDIG/NKCR__/C/AIPDIG-NKCR__VI_G_14_____2H0CZ4C-cs/,
740599,740498,"Praha, Národní knihovna České republiky","Czech Republic",XVII.H.28,https://collectiones.manuscriptorium.com/assorted/AIPDIG/NKCR__/9/AIPDIG-NKCR__XVII_H_28___1TIO6I9-cs/,
740601,740498,"Praha, Národní knihovna České republiky","Czech Republic",XVII.J.4,https://collectiones.manuscriptorium.com/assorted/AIPDIG/NKCR__/7/AIPDIG-NKCR__XVII_J_4____3IF4ZT7-cs/,
740604,740498,"Praha, Národní knihovna České republiky","Czech Republic",XIII.H.2,https://collectiones.manuscriptorium.com/assorted/AIPDIG/NKCR__/B/AIPDIG-NKCR__XIII_H_2____3338IMB-cs/,
740606,740498,"Praha, Národní knihovna České republiky","Czech Republic",VII.H.5b,https://collectiones.manuscriptorium.com/assorted/AIPDIG/NKCR__/9/AIPDIG-NKCR__VII_H_5B____1E7EXF9-cs/,
740634,739655,"Brugge, Openbare Bibliotheek Brugge (Biekorf)",Belgium,"SVC Ms. 012",https://sharedcanvas.be/IIIF/manifests/B_OB_SVC_MS012,
740643,740498,"Praha, Národní knihovna České republiky","Czech Republic",XXIII.G.59,https://collectiones.manuscriptorium.com/assorted/AIPDIG/NKCR__/F/AIPDIG-NKCR__XXIII_G_59__2GKZU3F-cs/,
740647,740368,"Heidelberg, Universitätsbibliothek",Germany,"Cod. Trübner 149",https://digi.ub.uni-heidelberg.de/diglit/iiif/codtruebner149/manifest,
768569,740277,"Praha, Knihovna Národního muzea","Czech Republic",XVIII.D.62,https://collectiones.manuscriptorium.com/assorted/AIPDIG/NMP___/8/AIPDIG-NMP___XVIII_D_62__2KNJOB3-cs,
794004,739468,"Köln, Kolumba Kunstmuseum des Erzbistums Köln",Germany,"König-Hs. 1",https://digital.dombibliothek-koeln.de/i3f/v20/548099/manifest,
794005,739468,"Köln, Kolumba Kunstmuseum des Erzbistums Köln",Germany,"König-Hs. 40",https://digital.dombibliothek-koeln.de/i3f/v20/548137/manifest,
794006,739468,"Köln, Kolumba Kunstmuseum des Erzbistums Köln",Germany,"König-Hs. 5",https://digital.dombibliothek-koeln.de/i3f/v20/548103/manifest,
794007,739468,"Köln, Kolumba Kunstmuseum des Erzbistums Köln",Germany,"König-Hs. 6",https://digital.dombibliothek-koeln.de/i3f/v20/548104/manifest,
794008,739468,"Köln, Kolumba Kunstmuseum des Erzbistums Köln",Germany,"König-Hs. 8",https://digital.dombibliothek-koeln.de/i3f/v20/548106/manifest,
794009,739468,"Köln, Kolumba Kunstmuseum des Erzbistums Köln",Germany,"König-Hs. 9",https://digital.dombibliothek-koeln.de/i3f/v20/548107/manifest,
794010,739468,"Köln, Kolumba Kunstmuseum des Erzbistums Köln",Germany,"König-Hs. 10",https://digital.dombibliothek-koeln.de/i3f/v20/548108/manifest,
794011,739468,"Köln, Kolumba Kunstmuseum des Erzbistums Köln",Germany,"König-Hs. 4",https://digital.dombibliothek-koeln.de/i3f/v20/548102/manifest,
794012,739468,"Köln, Kolumba Kunstmuseum des Erzbistums Köln",Germany,"König-Hs. 3",https://digital.dombibliothek-koeln.de/i3f/v20/548101/manifest,
794013,739468,"Köln, Kolumba Kunstmuseum des Erzbistums Köln",Germany,"König-Hs. 11",https://digital.dombibliothek-koeln.de/i3f/v20/548109/manifest,
794014,739468,"Köln, Kolumba Kunstmuseum des Erzbistums Köln",Germany,"König-Hs. 12",https://digital.dombibliothek-koeln.de/i3f/v20/548110/manifest,
794015,739468,"Köln, Kolumba Kunstmuseum des Erzbistums Köln",Germany,"König-Hs. 16",https://digital.dombibliothek-koeln.de/i3f/v20/548113/manifest,
794016,739468,"Köln, Kolumba Kunstmuseum des Erzbistums Köln",Germany,"König-Hs. 2",https://digital.dombibliothek-koeln.de/i3f/v20/548100/manifest,
794017,739468,"Köln, Kolumba Kunstmuseum des Erzbistums Köln",Germany,"König-Hs. 30",https://digital.dombibliothek-koeln.de/i3f/v20/548127/manifest,
794018,739468,"Köln, Kolumba Kunstmuseum des Erzbistums Köln",Germany,"König-Hs. 35",https://digital.dombibliothek-koeln.de/i3f/v20/548132/manifest,
794019,739468,"Köln, Kolumba Kunstmuseum des Erzbistums Köln",Germany,"König-Hs. 37",https://digital.dombibliothek-koeln.de/i3f/v20/548134/manifest,
794020,739468,"Köln, Kolumba Kunstmuseum des Erzbistums Köln",Germany,"König-Hs. 38",https://digital.dombibliothek-koeln.de/i3f/v20/548135/manifest,
