Country;City;Institution;ID;URL
FR;Auxerre;Trésor de la cathédrale;n°017;https://bvmm.irht.cnrs.fr/iiif/24154/manifest
FR;Auxerre;Trésor de la cathédrale;n°018;https://bvmm.irht.cnrs.fr/iiif/24155/manifest
FR;Auxerre;Trésor de la cathédrale;n°019;https://bvmm.irht.cnrs.fr/iiif/24156/manifest
FR;Auxerre;Trésor de la cathédrale;n°020;https://bvmm.irht.cnrs.fr/iiif/24148/manifest
FR;Avranches;Bibliothèque municipale;FP ms. 0001;https://bvmm.irht.cnrs.fr/iiif/4387/manifest
FR;Avranches;Bibliothèque municipale;FP ms. 0002;https://bvmm.irht.cnrs.fr/iiif/4385/manifest
FR;Avranches;Bibliothèque municipale;FP ms. 0003;https://bvmm.irht.cnrs.fr/iiif/4386/manifest
FR;Avranches;Bibliothèque municipale;inv. 094.1.1;https://bvmm.irht.cnrs.fr/iiif/17953/manifest
FR;Bayeux;Bibliothèque du chapitre;80;https://bvmm.irht.cnrs.fr/iiif/3468/manifest
FR;Beaune;Archives hospitalières;impr. Layette 123, 07;https://bvmm.irht.cnrs.fr/iiif/23169/manifest
FR;Beaune;Archives hospitalières;impr. Layette 123, 08;https://bvmm.irht.cnrs.fr/iiif/23173/manifest
FR;Beaune;Archives hospitalières;Layette 122, 03;https://bvmm.irht.cnrs.fr/iiif/23191/manifest
FR;Beaune;Archives hospitalières;Layette 122, 06;https://bvmm.irht.cnrs.fr/iiif/23172/manifest
FR;Beaune;Archives hospitalières;Layette 122, 09;https://bvmm.irht.cnrs.fr/iiif/23167/manifest
FR;Beaune;Archives hospitalières;Layette 123, 04;https://bvmm.irht.cnrs.fr/iiif/23168/manifest
FR;Beaune;Archives hospitalières;Layette 123, 05;https://bvmm.irht.cnrs.fr/iiif/23171/manifest
FR;Beaune;Archives hospitalières;Layette 123, 06;https://bvmm.irht.cnrs.fr/iiif/23170/manifest
FR;Beaune;Bibliothèque municipale;039 (038);https://bvmm.irht.cnrs.fr/iiif/23069/manifest
FR;Beaune;Bibliothèque municipale;045 (044);https://bvmm.irht.cnrs.fr/iiif/23094/manifest
FR;Beaune;Bibliothèque municipale;053 (052);https://bvmm.irht.cnrs.fr/iiif/23077/manifest
FR;Beaune;Bibliothèque municipale;054 (053);https://bvmm.irht.cnrs.fr/iiif/23082/manifest
FR;Beaune;Bibliothèque municipale;055 (054);https://bvmm.irht.cnrs.fr/iiif/23083/manifest
FR;Beaune;Bibliothèque municipale;059 (058);https://bvmm.irht.cnrs.fr/iiif/23084/manifest
FR;Beaune;Bibliothèque municipale;060 (059);https://bvmm.irht.cnrs.fr/iiif/23085/manifest
FR;Besançon;Bibliothèque municipale;50;https://bvmm.irht.cnrs.fr/iiif/21534/manifest
FR;Besançon;Bibliothèque municipale;154;https://bvmm.irht.cnrs.fr/iiif/21535/manifest
FR;Besançon;Bibliothèque municipale;155;https://bvmm.irht.cnrs.fr/iiif/21536/manifest
FR;Bordeaux;Bibliothèque municipale;90;https://bvmm.irht.cnrs.fr/iiif/3902/manifest
FR;Bordeaux;Bibliothèque municipale;91;https://bvmm.irht.cnrs.fr/iiif/3901/manifest
FR;Bordeaux;Bibliothèque municipale;94;https://bvmm.irht.cnrs.fr/iiif/3898/manifest
FR;Bordeaux;Bibliothèque municipale;1525;https://bvmm.irht.cnrs.fr/iiif/3391/manifest
FR;Bordeaux;Bibliothèque municipale;1780;https://bvmm.irht.cnrs.fr/iiif/3386/manifest
FR;Bordeaux;Bibliothèque municipale;Inc. 319;https://bvmm.irht.cnrs.fr/iiif/3039/manifest
FR;Boulogne-sur-Mer;Bibliothèque municipale;89;https://bvmm.irht.cnrs.fr/iiif/88/manifest
FR;Boulogne-sur-Mer;Bibliothèque municipale;504;https://bvmm.irht.cnrs.fr/iiif/120/manifest
FR;Boulogne-sur-Mer;Bibliothèque municipale;1154;https://bvmm.irht.cnrs.fr/iiif/122/manifest
FR;Caen;Musée des Beaux-Arts;FMM.238;https://bvmm.irht.cnrs.fr/iiif/19763/manifest
FR;Caen;Musée des Beaux-Arts;FMM.239;https://bvmm.irht.cnrs.fr/iiif/19755/manifest
FR;Caen;Musée des Beaux-Arts;FMM.241;https://bvmm.irht.cnrs.fr/iiif/19745/manifest
FR;Caen;Musée des Beaux-Arts;FMM.273;https://bvmm.irht.cnrs.fr/iiif/19749/manifest
FR;Chalon-sur-Saône;Musée Denon;inv. 2005.0.3.16;https://bvmm.irht.cnrs.fr/iiif/19844/manifest
FR;Chalon-sur-Saône;Musée Denon;inv. 2005.0.3.17;https://bvmm.irht.cnrs.fr/iiif/19845/manifest
FR;Chalon-sur-Saône;Musée Denon;inv. 2005.0.3.18;https://bvmm.irht.cnrs.fr/iiif/19846/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0008 (1376);https://bvmm.irht.cnrs.fr/iiif/181/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0062 (1423);https://bvmm.irht.cnrs.fr/iiif/228/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0063 (1366);https://bvmm.irht.cnrs.fr/iiif/229/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0065 (1284);https://bvmm.irht.cnrs.fr/iiif/22470/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0066 (1383);https://bvmm.irht.cnrs.fr/iiif/201/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0067 (1371);https://bvmm.irht.cnrs.fr/iiif/226/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0068 (1141);https://bvmm.irht.cnrs.fr/iiif/227/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0069 (1456);https://bvmm.irht.cnrs.fr/iiif/203/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0070 (1457);https://bvmm.irht.cnrs.fr/iiif/202/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0073 (1355);https://bvmm.irht.cnrs.fr/iiif/233/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0077 (1595);https://bvmm.irht.cnrs.fr/iiif/232/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0078 (1567);https://bvmm.irht.cnrs.fr/iiif/204/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0079 (1397);https://bvmm.irht.cnrs.fr/iiif/234/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0080 (1399);https://bvmm.irht.cnrs.fr/iiif/235/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0081 (1057);https://bvmm.irht.cnrs.fr/iiif/237/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0082 (1400);https://bvmm.irht.cnrs.fr/iiif/238/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0083 (1385);https://bvmm.irht.cnrs.fr/iiif/239/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0084 (0071);https://bvmm.irht.cnrs.fr/iiif/240/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0085 (1175);https://bvmm.irht.cnrs.fr/iiif/241/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0086 (1178);https://bvmm.irht.cnrs.fr/iiif/22387/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0087 (1557);https://bvmm.irht.cnrs.fr/iiif/242/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0088 (1123);https://bvmm.irht.cnrs.fr/iiif/243/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0094 (1285);https://bvmm.irht.cnrs.fr/iiif/248/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0117 (1454);https://bvmm.irht.cnrs.fr/iiif/265/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;0408 (1574);https://bvmm.irht.cnrs.fr/iiif/22264/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;1476 (1943);https://bvmm.irht.cnrs.fr/iiif/460/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;1480 (1966);https://bvmm.irht.cnrs.fr/iiif/459/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;Bernier-I-C-028;https://bvmm.irht.cnrs.fr/iiif/22223/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;Bernier-I-D-041;https://bvmm.irht.cnrs.fr/iiif/22233/manifest
FR;Chantilly;Bibliothèque et archives du musée Condé;Bernier-I-E-009;https://bvmm.irht.cnrs.fr/iiif/22238/manifest
FR;Chartres;Bibliothèque municipale;929;https://bvmm.irht.cnrs.fr/iiif/23221/manifest
FR;Château-Gontier;Bibliothèque municipale;14;https://bvmm.irht.cnrs.fr/iiif/1231/manifest
FR;Chaumont;Bibliothèque municipale;0034 (027);https://bvmm.irht.cnrs.fr/iiif/5092/manifest
FR;Coutances;Bibliothèque municipale;4;https://bvmm.irht.cnrs.fr/iiif/162/manifest
FR;Dieppe;Château-Musée;inv. 0978.4.4;https://bvmm.irht.cnrs.fr/iiif/20455/manifest
FR;Douai;Bibliothèque municipale;178;https://bvmm.irht.cnrs.fr/iiif/21525/manifest
FR;Douai;Bibliothèque municipale;179;https://bvmm.irht.cnrs.fr/iiif/21524/manifest
FR;Douai;Bibliothèque municipale;182;https://bvmm.irht.cnrs.fr/iiif/21523/manifest
FR;Douai;Bibliothèque municipale;183;https://bvmm.irht.cnrs.fr/iiif/21522/manifest
FR;Douai;Bibliothèque municipale;184;https://bvmm.irht.cnrs.fr/iiif/21521/manifest
FR;Douai;Bibliothèque municipale;188;https://bvmm.irht.cnrs.fr/iiif/21520/manifest
FR;Fécamp;Musée du Palais Bénédictine;A.10.002;https://bvmm.irht.cnrs.fr/iiif/20234/manifest
FR;Fécamp;Musée du Palais Bénédictine;A.10.003;https://bvmm.irht.cnrs.fr/iiif/20269/manifest
FR;Fécamp;Musée du Palais Bénédictine;A.10.004;https://bvmm.irht.cnrs.fr/iiif/20259/manifest
FR;Fécamp;Musée du Palais Bénédictine;A.10.007;https://bvmm.irht.cnrs.fr/iiif/20235/manifest
FR;Fécamp;Musée du Palais Bénédictine;A.10.009;https://bvmm.irht.cnrs.fr/iiif/20237/manifest
FR;Fécamp;Musée du Palais Bénédictine;A.10.011;https://bvmm.irht.cnrs.fr/iiif/20239/manifest
FR;Fécamp;Musée du Palais Bénédictine;A.10.012;https://bvmm.irht.cnrs.fr/iiif/20240/manifest
FR;Fécamp;Musée du Palais Bénédictine;A.10.013;https://bvmm.irht.cnrs.fr/iiif/20241/manifest
FR;Langres;Bibliothèque municipale;273;https://bvmm.irht.cnrs.fr/iiif/35/manifest
FR;Langres;Bibliothèque municipale;360;https://bvmm.irht.cnrs.fr/iiif/36/manifest
FR;Langres;Bibliothèque municipale;0004 (0030);https://bvmm.irht.cnrs.fr/iiif/4940/manifest
FR;Le Mans;Bibliothèque municipale;127;https://bvmm.irht.cnrs.fr/iiif/2937/manifest
