Country;Settlement;Repository;Shelfmark;manifest;IMPR
CH;Utopia;Armarium codicum bibliophilorum;Cod. 104;https://www.e-codices.unifr.ch/metadata/iiif/utp-0104/manifest.json;
CH;Utopia;Armarium codicum bibliophilorum;Cod. 105;https://www.e-codices.unifr.ch/metadata/iiif/utp-0105/manifest.json;
CH;Utopia;Armarium codicum bibliophilorum;Cod. 106;https://www.e-codices.unifr.ch/metadata/iiif/utp-0106/manifest.json;
CH;Utopia;Armarium codicum bibliophilorum;Cod. 108;https://www.e-codices.unifr.ch/metadata/iiif/utp-0108/manifest.json;
CH;Utopia;Armarium codicum bibliophilorum;Cod. 109;https://www.e-codices.unifr.ch/metadata/iiif/utp-0109/manifest.json;
CH;Utopia;Armarium codicum bibliophilorum;Cod. 110;https://www.e-codices.unifr.ch/metadata/iiif/utp-0110/manifest.json;
CH;Utopia;Armarium codicum bibliophilorum;Cod. 111;https://www.e-codices.unifr.ch/metadata/iiif/utp-0111/manifest.json;
CH;Zürich;Schweizerisches Nationalmuseum;LM 1314;https://www.e-codices.unifr.ch/metadata/iiif/snm-LM001314/manifest.json;
CH;Zürich;Schweizerisches Nationalmuseum;LM 51690.1;https://www.e-codices.unifr.ch/metadata/iiif/snm-LM051690-1/manifest.json;
CH;Zürich;Schweizerisches Nationalmuseum;LM 51690.2;https://www.e-codices.unifr.ch/metadata/iiif/snm-LM051690-2/manifest.json;
CH;Zürich;Schweizerisches Nationalmuseum;LM 51690.3;https://www.e-codices.unifr.ch/metadata/iiif/snm-LM051690-3/manifest.json;
CH;Zürich;Schweizerisches Nationalmuseum;LM 51690.4;https://www.e-codices.unifr.ch/metadata/iiif/snm-LM051690-4/manifest.json;
CH;Zürich;Schweizerisches Nationalmuseum;LM 51690.5;https://www.e-codices.unifr.ch/metadata/iiif/snm-LM051690-5/manifest.json;
CH;Zürich;Schweizerisches Nationalmuseum;LM 51690.6;https://www.e-codices.unifr.ch/metadata/iiif/snm-LM051690-6/manifest.json;
CH;Zürich;Schweizerisches Nationalmuseum;LM 51702;https://www.e-codices.unifr.ch/metadata/iiif/snm-LM051702/manifest.json;
CH;Zürich;Zentralbibliothek;C 168;https://www.e-manuscripta.ch/i3f/v20/1657119/manifest;
CH;Zürich;Zentralbibliothek;Rheinau 169;https://www.e-manuscripta.ch/i3f/v20/2406069/manifest;
DE;Karlsruhe;Badische Landesbibliothek;Durlach 1;https://digital.blb-karlsruhe.de/i3f/v20/490655/manifest;
DE;Karlsruhe;Badische Landesbibliothek;Karlsruhe 1271;https://digital.blb-karlsruhe.de/i3f/v20/2271795/manifest;
DE;Karlsruhe;Badische Landesbibliothek;Karlsruhe 3118;https://digital.blb-karlsruhe.de/i3f/v20/2926713/manifest;
DE;Karlsruhe;Badische Landesbibliothek;Karlsruhe 3125;https://digital.blb-karlsruhe.de/i3f/v20/3087863/manifest;
DE;Karlsruhe;Badische Landesbibliothek;Karlsruhe 92;https://digital.blb-karlsruhe.de/i3f/v20/2936647/manifest;
DE;Karlsruhe;Badische Landesbibliothek;Karlsruhe 93;https://digital.blb-karlsruhe.de/i3f/v20/2936640/manifest;
DE;Karlsruhe;Badische Landesbibliothek;Lichtenthal 45;https://digital.blb-karlsruhe.de/i3f/v20/1158471/manifest;
DE;Karlsruhe;Badische Landesbibliothek;Lichtenthal 48;https://digital.blb-karlsruhe.de/i3f/v20/1158513/manifest;
DE;Karlsruhe;Badische Landesbibliothek;Lichtenthal 55;https://digital.blb-karlsruhe.de/i3f/v20/1158560/manifest;
DE;Karlsruhe;Badische Landesbibliothek;Rastatt 30;https://digital.blb-karlsruhe.de/i3f/v20/555510/manifest;
DE;Karlsruhe;Badische Landesbibliothek;St. Georgen 28;https://digital.blb-karlsruhe.de/i3f/v20/2271783/manifest;
DE;Karlsruhe;Badische Landesbibliothek;St. Peter perg. 100;https://digital.blb-karlsruhe.de/i3f/v20/574699/manifest;
DE;Karlsruhe;Badische Landesbibliothek;St. Peter perg. 101;https://digital.blb-karlsruhe.de/i3f/v20/574706/manifest;
DE;Karlsruhe;Badische Landesbibliothek;St. Peter perg. 106;https://digital.blb-karlsruhe.de/i3f/v20/575081/manifest;
