"from","to"
"946","V_O.Carm."
"947","D_O.Cist."
"949","D_Zwiefalten O.S.B."
"950","D_Blaubeuren O.S.B."
"951","D_O.S.Cl."
"952","D_Zwiefalten O.S.B."
"956","V_Roma"
"956","D_Roma"
"958","V_Lyon"
"960","D_Weingarten O.S.B."
"967","D_Ochsenhausen O.S.B."
"970","D_Trier, Sankt Irminen O.S.B."
"972","D_Troyes"
"974","V_Roma"
"976","D_Würzburg"
"977","V_Roma"
"977","D_Roma"
"978","V_Roma"
"978","D_Roma"
"979","V_Roma"
"981","V_Roma"
"981","D_Roma"
"982","V_Roma"
"983","V_Roma"
"984","V_Roma"
"985","V_Roma"
"987","V_Nantes"
"988","V_Cambrai"
"991","D_Roma"
"992","V_Troyes"
"993","D_Rouen"
"994","V_Bourges"
"997","V_Utrecht"
"998","D_Roma"
"1002","D_O.P."
"1003","D_Bremen"
"1005","V_Tours"
"1006","V_Paris"
"1007","V_Paris"
"1008","V_Paris"
"1009","D_Eichstätt"
"1010","D_Windesheim O.S.A."
"1011","D_Paris"
"1012","D_Paris"
"1013","V_Chalon-sur-Saône"
"1014","D_Rouen"
"1015","V_Autun"
"1016","V_Langres"
"1017","D_Roma"
"1018","D_Rouen"
"1019","D_Rouen"
"1020","V_Coutances"
"1022","V_Sarum"
"1023","V_Coutances"
"1024","D_Strasbourg"
"1032","V_Paris"
"1033","V_Paris"
"1049","V_Roma"
"1049","D_Roma"
"1052","V_Sarum"
"1052","D_Sarum"
"1061","V_Paris"
"1070","V_Viviers"
"1075","V_Paris"
"1075","D_Paris"
"1077","V_Roma"
"1077","D_Roma"
"1093","V_Paris"
"1095","V_Roma"
"1098","V_Paris"
"1100","V_Roma"
"1101","V_Roma"
"1101","D_Roma"
"1103","V_Roma"
"1103","D_Roma"
"1104","V_Roma"
"1111","V_Roma"
"1111","D_Roma"
"1113","D_Roma"
"1114","D_Roma"
"1115","D_Rouen"
"1117","D_O.P."
"1162","V_Tournai"
"1164","V_Amiens"
"1164","D_Paris"
"1165","V_Amiens"
"1166","D_Saint-Riquier"
"1171","V_Paris"
"1172","V_Roma"
"1173","V_Roma"
"1174","V_Roma"
"1175","V_Rouen"
"1176","V_Roma"
"1177","V_Le Mans"
"1178","V_Paris"
"1182","V_Roma"
"1192","V_Roma"
"1193","V_Paris"
"1194","V_Amiens"
"1195","V_Paris"
"1196","V_Amiens"
"1198","V_Roma"
"1199","V_Amiens"
"1200","V_Mons, Sainte-Waudru O.S.A."
"1202","V_Amiens"
"1203","V_Amiens"
"1204","V_Cluny O.S.B."
"1205","V_Amiens"
"1206","V_Troyes"
"1207","V_Roma"
"1208","V_Paris"
"1208","D_Paris"
"1209","V_Roma"
"1209","D_Roma"
"1211","V_Roma"
"1212","V_Roma"
"1213","V_Roma"
"1215","V_Angers"
"1216","V_Roma"
"1221","V_Maastricht, Sankt Servas O.S.A."
"1222","V_Angers"
"1223","V_Angers"
"1224","V_Angers"
"1225","V_Le Mans"
"1226","V_Angers"
"1227","V_Grandmont O.S.B."
"1228","V_Angers O.Carm."
"1228","D_O.Carm."
"1229","V_Roma"
"1230","V_Roma"
"1232","V_Paris"
"1233","V_Saint-Florent de Saumur O.S.B."
"1260","V_Roma"
"1261","V_Roma"
"1263","V_Roma"
"1265","V_Arras"
"1266","D_Paris"
"1267","V_Châlons-en-Champagne"
"1268","V_Arras, Saint-Vaast O.S.B."
"1269","V_Paris"
"1270","V_Arras"
"1272","V_Arras"
"1274","V_Thérouanne"
"1275","V_Thérouanne"
"1277","V_Roma"
"1278","V_Amiens"
"1280","V_Amiens"
"1280","D_Thérouanne"
"1281","V_Troyes"
"1282","D_Rouen"
"1283","V_Roma"
"1284","V_Paris"
"1285","V_Thérouanne"
"1286","V_Arras, Saint-Vaast O.S.B."
"1287","V_Thérouanne"
"1288","V_Arras"
"1289","V_Roma"
"1290","V_Châlons-en-Champagne"
"1292","V_Paris"
"1293","V_Liège"
"1295","V_Tournai"
"1296","V_Troyes"
"1307","V_Roma"
"1309","V_Paris"
"1311","V_O.F.M."
"1313","V_Bayeux"
"1317","V_Autun"
"1320","V_Troyes"
"1322","V_Roma"
"1330","D_Troyes"
"1330","V_Troyes"
"1340","D_Avignon O.Cael."
"1341","V_Roma"
"1342","V_Roma"
"1344","D_Köln"
"1345","V_Roma"
"1346","V_Paris"
"1347","D_Paris"
"1352","V_Roma"
"1355","V_Le Mans"
"1367","V_Angers"
"1373","D_Bayeux"
"1398","V_Tournai, Notre-Dame-du-Bon-Conseil O.S.A."
"1399","V_Genève"
"1400","V_O.F.M."
"1401","V_Autun"
"1401","D_Autun"
"1402","V_Autun"
"1402","D_Autun"
"1403","V_Paris"
"1404","V_Roma"
"1409","V_Roma"
"1410","V_Besançon"
"1411","V_Besançon"
"1412","V_Besançon"
"1413","V_Besançon"
"1414","V_Besançon"
"1415","V_Besançon"
"1416","V_Roma"
"1417","V_Poitiers"
"1418","D_Troyes"
"1419","V_Paris"
"1420","V_Roma"
"1421","V_Lyon"
"1422","V_Paris"
"1424","V_Roma"
"1425","V_Saintes"
"1426","V_Roma"
"1427","V_Roma"
"1428","V_Rouen"
"1429","V_Roma"
"1430","V_O.F.M."
"1431","V_Troyes"
"1432","V_Châlons-en-Champagne"
"1437","V_Orléans"
"1451","V_Amiens"
"1453","V_Poitiers"
"1455","V_Évreux"
"1457","V_Cambrai (O.S.A. ?)"
"1458","V_Tournai"
"1458","D_Roma"
"1459","V_Limoges"
"1460","V_York"
"1464","V_Noyon, Sainte-Godeberte"
"1466","V_Vierzon, Saint-Pierre O.S.B."
"1467","V_Bourges"
"1468","V_Bourges"
"1469","V_Bourges"
"1470","V_Bourges"
"1470","D_Bourges"
"1471","V_Rennes"
"1472","V_Rennes"
"1472","D_Rennes"
"1479","V_Limoges"
"1484","V_Bayeux"
"1495","V_Coutances"
"1495","D_Coutances"
"1496","D_Coutances"
"1502","V_Cambrai, Saint-Sépulcre O.S.B."
"1503","V_Cambrai"
"1504","V_Reims"
"1505","V_Roma"
"1505","D_Roma"
"1506","V_Roma"
"1507","V_Mons, Sainte-Waudru O.S.A."
"1509","V_Troyes"
"1510","V_Cambrai"
"1511","V_Roma"
"1511","D_Roma"
"1513","V_Cambrai"
"1517","V_Roma"
"1518","V_Paris"
"1519","V_Roma"
"1520","V_Le Puy-en-Velay"
"1521","V_Châlons-en-Champagne"
"1522","V_Roma"
"1523","V_Roma"
"1524","V_Paris"
"1525","V_Roma"
"1526","V_Lyon"
"1527","V_Roma"
"1528","V_Rouen"
"1531","V_Roma"
"1532","V_Mende"
"1533","V_Tours"
"1534","V_Châlons-en-Champagne"
"1536","V_Paris"
"1537","V_Troyes"
"1538","V_Thérouanne"
"1547","V_Châlons-en-Champagne"
"1547","D_Châlons-en-Champagne"
"1548","V_Paris"
"1550","V_Besançon"
"1551","V_Roma"
"1552","V_Rouen"
"1553","V_Besançon"
"1553","D_Besançon"
"1554","V_Lisieux"
"1556","V_Paris"
"1557","V_Châlons-en-Champagne"
"1568","V_Paris"
"1569","V_Troyes"
"1570","V_Roma"
"1570","D_Roma"
"1571","V_Roma"
"1571","D_Roma"
"1574","D_Trier"
"1575","V_Thérouanne"
"1576","V_Roma"
"1577","V_Paris"
"1577","D_Paris"
"1578","V_Paris"
"1578","D_Paris"
"1579","V_Paris"
"1579","D_Paris"
"1580","V_Troyes"
"1582","V_Roma"
"1583","D_Paris"
"1584","V_Roma"
"1585","V_Paris"
"1586","V_Roma"
"1588","V_Paris"
"1590","V_Roma"
"1592","V_Roma"
"1604","V_O.F.M."
"1606","V_Paris"
"1607","V_Paris"
"1621","V_Thérouanne"
"1628","V_Chartres"
"1631","V_Chalon-sur-Saône"
"1641","V_Roma"
"1642","V_Angers"
"1643","V_Chartres"
"1652","V_Roma"
"1659","V_Roma"
"1660","V_Roma"
"1661","V_Clermont"
"1662","V_Clermont"
"1665","V_O.Ant."
"1666","V_O.Ant."
"1667","V_Roma"
"1667","D_Roma"
"1668","V_Roma"
"1669","V_Clermont"
"1670","D_Chezal-Benoît O.S.B."
"1671","D_Clermont"
"1679","V_Roma"
"1679","D_Besançon"
"1680","V_O.Praem."
"1681","V_Roma"
"1692","V_Rouen"
"1693","V_Roma"
"1693","D_Roma"
"1694","V_O.F.M."
"1695","V_Langres"
"1697","V_Roma"
"1697","D_Roma"
"1698","V_Autun"
"1699","V_Roma"
"1700","V_Autun"
"1701","V_Rouen"
"1703","V_Bourges"
"1715","V_Paris"
"1716","V_Langres"
"1717","V_Paris"
"1718","V_Chalon-sur-Saône"
"1720","V_Tournai"
"1721","V_Roma"
"1722","V_Roma"
"1723","V_Amiens"
"1724","V_Paris"
"1725","V_Rouen"
"1726","V_Tournai"
"1727","V_Tournai"
"1728","V_Thérouanne"
"1729","V_Tournai"
"1731","V_Tournai"
"1732","V_Roma"
"1733","V_Tournai"
"1738","V_Roma"
"1738","D_Roma"
"1739","V_Roma"
"1739","D_Roma"
"1740","V_Roma"
"1741","V_Roma"
"1746","V_Toul"
"1749","V_Toul"
"1750","V_Roma"
"1751","V_Tours"
"1755","V_Lyre, Notre-Dame O.S.B."
"1758","V_Thérouanne"
"1759","V_Mont-Saint-Quentin O.S.B."
"1768","V_Tournai"
"1771","V_Roma"
"1771","D_Roma"
"1774","D_Ambronay O.S.B."
"1775","V_Paris"
"1777","V_Rouen"
"1781","V_Paris"
"1781","D_Paris"
"1783","V_Roma"
"1783","D_Roma"
"1784","V_Lyon"
"1784","D_Lyon"
"1788","V_Roma"
"1788","D_Roma"
"1792","V_Roma"
"1792","D_Roma"
"1793","D_Roma"
"1795","V_Embrun"
"1796","V_Roma"
"1802","D_Reims"
"1803","V_Paris"
"1804","V_Paris"
"1805","V_Rouen"
"1807","V_Troyes"
"1808","V_Roma"
"1812","V_Langres"
"1813","V_Tournai"
"1817","V_Roma"
"1819","V_Roma"
"1820","V_Angers"
"1821","V_Paris"
"1822","V_Le Mans"
"1823","V_Roma"
"1824","V_Coutances"
"1826","V_Sens"
"1828","V_Metz"
"1829","V_Bayeux"
"1830","V_Le Mans"
"1863","V_Roma"
"1863","D_Roma"
"1878","V_Roma"
"1879","V_Paris"
"1880","V_Besançon"
"1881","V_Lyon"
"1882","V_Lyon"
"1883","V_Tréguier"
"1884","V_Roma"
"1885","V_Roma"
"1886","V_Paris"
"1886","D_Paris"
"1887","V_Bourges"
"1888","V_Roma"
"1888","D_Roma"
"1889","V_Troyes"
"1890","V_Roma"
"1891","V_Roma"
"1891","D_Paris"
"1892","V_Roma"
"1893","V_Besançon"
"1893","D_Besançon"
"1894","V_Rouen"
"1895","V_Paris"
"1896","V_Paris"
"1897","V_Paris"
"1898","V_Tours"
"1899","V_Roma"
"1900","V_Lyon"
"1901","V_Paris"
"1902","V_Roma"
"1903","V_Rouen"
"1904","V_Paris"
"1907","V_Bourges"
"1908","V_Roma"
"1909","V_Avranches"
"1910","V_Lyon"
"1910","D_Lyon"
"1912","V_Roma"
"1912","D_Roma"
