msItem H-ID,rec_Title,Parent entity (Manuscript) H-ID,Parent entity RecordTitle,Parent entity (Printed text) H-ID,Parent entity RecordTitle,Work H-ID,Work RecordTitle,use (Organisation) H-ID,use RecordTitle
200010,"MsItem of Österreichische Nationalbibliothek, Cod. 01961 : Office of the dead | L1 | Section",85,"Wien, Österreichische Nationalbibliothek, Cod. 01961",,,75965,Office of the dead | L1 | Section,10105,"Lagny-sur-Marne, Saint-Pierre O.S.B. (Organisation)"
100021,"MsItem of Österreichische Nationalbibliothek, Cod. 01988 : Hours of the Virgin",91,"Wien, Österreichische Nationalbibliothek, Cod. 01988",,,75966,Hours of the Virgin | L1 | Section,10215,Roma (Organisation)
200011,"MsItem of Österreichische Nationalbibliothek, Cod. 01988 : Office of the dead",91,"Wien, Österreichische Nationalbibliothek, Cod. 01988",,,75965,Office of the dead | L1 | Section,10215,Roma (Organisation)
300009,"MsItem of Österreichische Nationalbibliothek, Cod. 01988 : Calendar",91,"Wien, Österreichische Nationalbibliothek, Cod. 01988",,,75963,Calendar | L1 | Section,10150|10171|10171,"Nederland, Sud (Organisation)|O.S.A. (Organisation)|O.S.A. (Organisation)"
100022,"MsItem of Österreichische Nationalbibliothek, Cod. 02004 : Hours of the Virgin",93,"Wien, Österreichische Nationalbibliothek, Cod. 02004",,,75966,Hours of the Virgin | L1 | Section,10215,Roma (Organisation)
200012,"MsItem of Österreichische Nationalbibliothek, Cod. 02004 : Office of the dead",93,"Wien, Österreichische Nationalbibliothek, Cod. 02004",,,75965,Office of the dead | L1 | Section,10215,Roma (Organisation)
300010,"MsItem of Österreichische Nationalbibliothek, Cod. 02004 : Calendar",93,"Wien, Österreichische Nationalbibliothek, Cod. 02004",,,75963,Calendar | L1 | Section,10189,Paris (Organisation)
100023,"MsItem of Österreichische Nationalbibliothek, Ser. n. 02613 : Hours of the Virgin",101,"Wien, Österreichische Nationalbibliothek, Ser. n. 02613",,,75966,Hours of the Virgin | L1 | Section,10215,Roma (Organisation)
200013,"MsItem of Österreichische Nationalbibliothek, Ser. n. 02613 : Office of the dead",101,"Wien, Österreichische Nationalbibliothek, Ser. n. 02613",,,75965,Office of the dead | L1 | Section,10169,O.P. (Organisation)
300011,"MsItem of Österreichische Nationalbibliothek, Ser. n. 02613 : Calendar",101,"Wien, Österreichische Nationalbibliothek, Ser. n. 02613",,,75963,Calendar | L1 | Section,10080,"France, Nord (Organisation)"
100024,"MsItem of Österreichische Nationalbibliothek, Ser. n. 02614 : Hours of the Virgin",102,"Wien, Österreichische Nationalbibliothek, Ser. n. 02614",,,75966,Hours of the Virgin | L1 | Section,10189,Paris (Organisation)
200014,"MsItem of Österreichische Nationalbibliothek, Ser. n. 02614 : Office of the dead",102,"Wien, Österreichische Nationalbibliothek, Ser. n. 02614",,,75965,Office of the dead | L1 | Section,10189,Paris (Organisation)
300012,"MsItem of Österreichische Nationalbibliothek, Ser. n. 02614 : Calendar",102,"Wien, Österreichische Nationalbibliothek, Ser. n. 02614",,,75963,Calendar | L1 | Section,10189,Paris (Organisation)
100025,"MsItem of Österreichische Nationalbibliothek, Ser. n. 02615 : Hours of the Virgin",103,"Wien, Österreichische Nationalbibliothek, Ser. n. 02615",,,75966,Hours of the Virgin | L1 | Section,10189,Paris (Organisation)
200015,"MsItem of Österreichische Nationalbibliothek, Ser. n. 02615 : Office of the dead",103,"Wien, Österreichische Nationalbibliothek, Ser. n. 02615",,,75965,Office of the dead | L1 | Section,10189,Paris (Organisation)
300013,"MsItem of Österreichische Nationalbibliothek, Ser. n. 02615 : Calendar",103,"Wien, Österreichische Nationalbibliothek, Ser. n. 02615",,,75963,Calendar | L1 | Section,10189,Paris (Organisation)
100026,"MsItem of Österreichische Nationalbibliothek, Ser. n. 12878 : Hours of the Virgin",111,"Wien, Österreichische Nationalbibliothek, Ser. n. 12878",,,75966,Hours of the Virgin | L1 | Section,10245,Sarum (Organisation)
200016,"MsItem of Österreichische Nationalbibliothek, Ser. n. 12878 : Office of the dead",111,"Wien, Österreichische Nationalbibliothek, Ser. n. 12878",,,75965,Office of the dead | L1 | Section,10250,Unknown (Organisation)
300014,"MsItem of Österreichische Nationalbibliothek, Ser. n. 12878 : Calendar",111,"Wien, Österreichische Nationalbibliothek, Ser. n. 12878",,,75963,Calendar | L1 | Section,10277,Utrecht (Organisation)
100027,"MsItem of Österreichische Nationalbibliothek, Ser. n. 13239 : Hours of the Virgin",115,"Wien, Österreichische Nationalbibliothek, Ser. n. 13239",,,75966,Hours of the Virgin | L1 | Section,10215,Roma (Organisation)
200017,"MsItem of Österreichische Nationalbibliothek, Ser. n. 13239 : Office of the dead",115,"Wien, Österreichische Nationalbibliothek, Ser. n. 13239",,,75965,Office of the dead | L1 | Section,10215,Roma (Organisation)
300015,"MsItem of Österreichische Nationalbibliothek, Ser. n. 13239 : Calendar",115,"Wien, Österreichische Nationalbibliothek, Ser. n. 13239",,,75963,Calendar | L1 | Section,10150,"Nederland, Sud (Organisation)"
100028,"MsItem of Österreichische Nationalbibliothek, Ser. n. 13240 : Hours of the Virgin",116,"Wien, Österreichische Nationalbibliothek, Ser. n. 13240",,,75966,Hours of the Virgin | L1 | Section,10215,Roma (Organisation)
200018,"MsItem of Österreichische Nationalbibliothek, Ser. n. 13240 : Office of the dead",116,"Wien, Österreichische Nationalbibliothek, Ser. n. 13240",,,75965,Office of the dead | L1 | Section,10215,Roma (Organisation)
300016,"MsItem of Österreichische Nationalbibliothek, Ser. n. 13240 : Calendar",116,"Wien, Österreichische Nationalbibliothek, Ser. n. 13240",,,75963,Calendar | L1 | Section,10150,"Nederland, Sud (Organisation)"
