"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","rowname.unlist","n"
"581",79,1,10,NA,44,58,47,NA,76,27,18,38,"St. Peter's Salzburg_VIE2700",1
"582",79,1,18,NA,47,58,83,NA,10,76,38,NA,"Murbach_COLM229A Petersberg_VAT81 St. Amand_VAL142 Bursfeld_BERL14 Cismar_CPHG3454 Ghistelles_BNSN(2) St. Martin Trier_BN1311 St. Matthias Trier_TREV383 St. Irminen Trier_TREV466 Lobbes_BRU3828 German Observance_PAR1518",11
"583",79,10,58,NA,44,47,1,NA,27,18,38,NA,"_SALZB23",1
"584",79,27,76,NA,44,47,58,NA,1,18,38,NA,"Mondsee_VIE1936A Aquileia_UDINE72A",2
"585",79,44,10,NA,47,58,1,NA,76,18,38,NA,"Erfurt_BL8192D St. Severus Erfurt_BN4954A",2
"586",79,44,47,NA,1,58,83,NA,18,76,38,NA,"Passau_PAS1496A Salzburg_GEN828A",2
"587",79,44,47,NA,1,58,83,NA,18,76,40,38,"Chiemsee_BL3366",1
"588",79,44,47,NA,10,83,1,NA,76,18,38,NA,"Blaubeuren_STUTT77",1
"589",79,44,47,NA,83,76,1,NA,10,18,38,NA,"_BL15482 Neustift?_NEU654",2
"590",79,44,47,NA,83,76,1,NA,58,18,38,NA,"Aquilaea Süddeutsch_AQUIC6",1
"591",79,44,58,NA,76,47,1,NA,83,18,38,NA,"Naumburg_S.1932-15",1
"592",79,44,58,NA,76,47,83,NA,1,10,18,NA,"_FULD71",1
"593",79,44,76,NA,27,47,1,NA,58,18,38,NA,"St. Emmeram_MUN14771K",1
"594",79,44,76,NA,47,27,1,NA,58,18,38,NA,"Heidenheim_BN10531",1
"595",79,44,83,NA,47,1,18,NA,58,10,38,NA,"Münster_CPHV906A",1
"596",79,58,47,NA,83,76,40,NA,18,38,1,NA,"St. Emillion_BORD902",1
"597",79,58,47,NA,83,76,44,NA,10,18,38,NA,"_UTR425A",1
"598",79,58,76,NA,47,1,83,NA,10,18,38,NA,"St. Simeon Trier_BRU3068",1
"599",79,58,76,NA,47,1,83,NA,10,18,40,NA,"St. Simeon Trier_TREV427A",1
"600",79,58,83,NA,76,27,44,NA,1,93,47,18,"Niederaltaich_MUN14741A",1
"601",79,76,47,NA,1,44,52,NA,83,58,38,NA,"St. Arnulf_METZ45A",1
"602",79,82,1,NA,83,47,58,NA,76,18,38,NA,"_WAG23",1
"603",79,82,47,NA,76,1,58,NA,18,83,38,NA,"Meissen_BL16A",1
"604",79,82,83,NA,1,58,47,NA,10,18,38,38,"_UPS488",1
"605",79,82,83,NA,1,58,47,NA,10,18,38,NA,"_UPS438",1
"606",79,82,83,NA,1,58,47,NA,76,18,10,NA,"Speyer_MAZ23823A",1
"607",79,82,83,NA,1,58,47,NA,76,18,38,NA,"Hildesheim_CPHV1427A",1
"608",79,82,83,NA,27,47,1,NA,58,76,18,38,"Bamberg_BAMB22",1
"609",79,82,83,NA,27,47,1,NA,58,76,18,NA,"Bamberg_PAUL26A Eichstätt_VAT13D",2
"610",79,82,83,NA,58,47,1,NA,76,18,38,NA,"Maria Garten_WOLF309A",1
"611",79,83,40,NA,85,58,76,NA,47,18,10,NA,"Würzburg_WURZB71A",1
"612",79,83,44,NA,47,58,76,NA,1,18,38,NA,"_EDINB48",1
"613",79,83,44,NA,47,76,18,NA,1,58,40,NA,"Arhus_CPH25",1
"614",79,83,44,NA,58,1,47,NA,10,18,38,NA,"Münster_MUNST(2)",1
"615",79,83,47,NA,44,76,27,NA,18,1,58,93,"St. Felicity Münsterschwarzach_OXF297A",1
