"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","rowname.unlist","n"
"84",14,72,24,NA,32,57,28,NA,68,82,40,NA,"Arezzo_VAT4772 Hastieres_MUN13067B Montieramey_TROY721B St. Vanne_VERD129B Stavelot_BRU6386 St. Arnulf_METZ573 Durham_BL804S St. Bees_OXFG1 St. Symphorian_METZSSN",9
"85",14,72,24,NA,32,57,28,NA,68,83,38,NA,"Murbach_COLM229B",1
"86",14,72,24,NA,32,57,28,NA,68,NA,NA,NA,"Metz_VAT66 _VAT133",2
"87",14,72,24,NA,32,57,28,NA,71,38,68,NA,"Capua_MIL532",1
"88",14,72,24,NA,32,57,28,NA,71,46,38,NA,"S. Lupo di Beneveto_VAT176S",1
"89",14,72,24,NA,32,57,28,NA,71,46,40,38,"S. Lupo di Beneveto_BENEV21",1
"90",14,72,24,NA,32,57,28,NA,82,68,38,NA,"Bobbio_S.1952",1
"91",14,72,24,NA,32,57,28,NA,82,68,79,NA,"Bobbio_TOR10",1
"92",14,72,24,NA,32,57,28,NA,NA,46,38,NA,"Dominican_VAT507",1
"93",14,72,24,NA,32,57,36,NA,68,40,38,NA,"Chester_BL431 Bodmin_OXF22",2
"94",14,72,24,NA,32,57,36,NA,68,46,38,40,"Angouleme_MAZ11872",1
"95",14,72,24,NA,32,57,36,NA,68,46,38,NA,"Angouleme_BL7 Saintes_BN1307",2
"96",14,72,24,NA,32,57,37,NA,68,46,38,NA,"Nantes_GEN1251",1
"97",14,72,24,NA,32,57,37,NA,68,82,38,NA,"_MISERSN",1
"98",14,72,24,NA,32,57,38,NA,28,68,12,NA,"Autun_BAYEUX58",1
"99",14,72,24,NA,32,57,38,NA,68,28,46,40,"St. Pere de Chartres_CHARTR554",1
"100",14,72,24,NA,32,57,38,NA,68,28,46,NA,"St. Pere de Chartres_CHARTR565 St. Benoit-sur-Loire_ORLE776",2
"101",14,72,24,NA,32,57,38,NA,68,40,1,NA,"Chalon-sur-Saone_BN13273",1
"102",14,72,24,NA,32,57,40,28,68,82,38,NA,"St. Lo-de-Rouen_GEN2634D Rouen_ROUEN195",2
"103",14,72,24,NA,32,57,40,NA,46,82,38,NA,"Rouen_MTP3",1
"104",14,72,24,NA,32,57,40,NA,68,18,38,NA,"York_BL1663",1
"105",14,72,24,NA,32,57,40,NA,68,28,38,NA,"Compostela_SANTSN Dol_ARS102 Orense_ORENSE9",3
"106",14,72,24,NA,32,57,40,NA,68,28,46,12,"St. Wandrille_OXF71B",1
"107",14,72,24,NA,32,57,40,NA,68,28,46,38,"St. Martin-les-Bourges (?)_EBAI297 St. Wandrille_ARRAS248",2
"108",14,72,24,NA,32,57,40,NA,68,28,46,NA,"St. Wandrille_ROUEN207 St. Stephen's Caen_MTP314B",2
"109",14,72,24,NA,32,57,40,NA,68,46,38,NA,"Tiron_BL8 Tuy_PORT51",2
"110",14,72,24,NA,32,57,40,NA,68,82,38,NA,"Avranches_BN241 Rouen_BN1163 Dol_BN24022",3
"111",14,72,24,NA,32,57,40,NA,83,18,38,NA,"_CHANT7",1
"112",14,72,24,NA,32,57,46,NA,68,40,38,NA,"St. Brieuc_MALO1600",1
"113",14,72,24,NA,32,57,46,NA,68,67,38,NA,"_RIOM22",1
"114",14,72,24,NA,32,57,46,NA,68,79,83,NA,"Kitzingen_MIL263",1
"115",14,72,24,NA,32,57,46,NA,68,82,38,40,"Toul_ARS617",1
"116",14,72,24,NA,32,57,46,NA,68,82,38,NA,"Toul_VES13",1
"117",14,72,24,NA,32,57,51,NA,68,89,38,40,"Tournai_FECSN",1
"118",14,72,24,NA,32,57,51,NA,68,89,38,NA,"Tournai_LILLE49 Noyon_BN1615",2
"119",14,72,24,NA,32,57,56,NA,68,40,79,38,"Vercelli_MAZ1156",1
"120",14,72,24,NA,32,57,62,NA,4,38,62,NA,"A North Italian Nunnery_EBAMS12",1
"121",14,72,24,NA,32,57,68,NA,1,83,38,NA,"Weingarten_FULD56",1
"122",14,72,24,NA,32,57,68,NA,28,38,1,NA,"Würzburg_WURZB71B",1
"123",14,72,24,NA,32,57,68,NA,28,40,38,NA,"Klosterneuburg_KLNB1010 Merseburg_S.LON(10) Niederaltaich_MUN14741B Kremsmünster_KREMS5(2) Magdeburg_METZ1200B Bamberg_PAUL26B Linköping_UPS461 Guisborough_CAM30 _UDINE232B Alba Julia_GUS1-34B Speyer_S.1932-11 Meissen_BL16B Bremen_CPHN39B Brixen_VAT7227B Brixen diocese_BRIXEN_MIN",15
"124",14,72,24,NA,32,57,68,NA,28,40,44,NA,"Maria Garten_WOLF309B",1
"125",14,72,24,NA,32,57,68,NA,28,40,58,NA,"_UPS500B",1
"126",14,72,24,NA,32,57,68,NA,28,40,79,NA,"Passau_BN10526 Salzburg_S.1932-12",2
"127",14,72,24,NA,32,57,68,NA,28,40,82,NA,"St. Georg Prüfening_VIE1826B Augsburg (cathedral)_VAT523B Raitenbuch_MUN23288B",3
"128",14,72,24,NA,32,57,68,NA,28,71,40,38,"Celestine_NIMES5",1
"129",14,72,24,NA,32,57,68,NA,28,71,40,NA,"Celestine_AVIGN129",1
"130",14,72,24,NA,32,57,68,NA,28,79,38,NA,"Besancon_M.C.14268",1
"131",14,72,24,NA,32,57,68,NA,28,82,38,NA,"St. Felicity Münsterschwarzach_OXF297B _CHARTR551 Lambach (OSB)_LAMB103A Lambach (OSB)?_GRAZ1119",4
"132",14,72,24,NA,32,57,68,NA,28,82,40,NA,"Werden_BERL380B",1
"133",14,72,24,NA,32,57,68,NA,28,83,38,NA,"Eichstätt_CPHT119",1
"134",14,72,24,NA,32,57,68,NA,36,46,79,38,"Le Puy_BN1304",1
"135",14,72,24,NA,32,57,68,NA,36,46,79,NA,"Le Puy_CARP51",1
"136",14,72,24,NA,32,57,68,NA,38,83,1,NA,"Basle_CPHV892A St. Ursanne_BASLE39",2
"137",14,72,24,NA,32,57,68,NA,38,83,79,NA,"Basle_CPHV892B",1
"138",14,72,24,NA,32,57,68,NA,40,83,38,NA,"Montjoux_ROME440 Solothurn_SOLT251",2
"139",14,72,24,NA,32,57,68,NA,46,40,38,NA,"_MELUN12",1
"140",14,72,24,NA,32,57,68,NA,46,82,40,38,"Treviso_BN10488",1
"141",14,72,24,NA,32,57,68,NA,51,46,40,NA,"St. Donatian of Bruges_BL1018B",1
"142",14,72,24,NA,32,57,68,NA,58,83,38,NA,"Landgrave Psalter_STUTT24",1
"143",14,72,24,NA,32,57,68,NA,76,40,38,NA,"Minden_S.1932-B",1
"144",14,72,24,NA,32,57,68,NA,79,40,38,NA,"Cracow_VAT4751 Gran_BN8879B Agram_VAT16B Plock_S.1932-4 Olmütz_BL1487B Breslau_BLSN(4) Gnesen_VAT472 Hermits of St. Paul_MIL1856B",8
"145",14,72,24,NA,32,57,68,NA,79,83,38,NA,"Besancon_BESAN64",1
"146",14,72,24,NA,32,57,68,NA,82,28,38,40,"Waldkirch_VIE1888",1
"147",14,72,24,NA,32,57,68,NA,82,28,38,NA,"Zwiefalten_STUTT13B",1
"148",14,72,24,NA,32,57,68,NA,82,28,40,NA,"_VAT539",1
"149",14,72,24,NA,32,57,68,NA,82,40,38,NA,"Lund_UPS515",1
"150",14,72,24,NA,32,57,68,NA,82,76,38,NA,"_VEND14",1
"151",14,72,24,NA,32,57,68,NA,82,79,38,NA,"Ambronay_GAPS(1)",1
"152",14,72,24,NA,32,57,68,NA,82,83,28,38,"Weingarten_STUTT89B",1
"153",14,72,24,NA,32,57,68,NA,82,83,28,NA,"Weingarten_FULD116B",1
"154",14,72,24,NA,32,57,68,NA,82,83,38,NA,"St. Emmeram_BL18301 Zwiefalten_STUTTCB98 Weingarten_STUTT98 Mondsee_VIE1936B Ettenheimmünster_BERL722 Aquileia_UDINE72B St. Georg Prüfening_MUN23037",7
"155",14,72,24,NA,32,57,68,NA,83,40,38,NA,"Sion_SION47",1
"156",14,72,24,NA,32,57,68,NA,83,79,38,NA,"Trier_CHANT8",1
"157",14,72,24,NA,32,57,68,NA,NA,NA,NA,NA,"Bamberg_VAT27",1
"158",14,72,24,NA,32,57,82,NA,68,28,40,NA,"Freising (printed in 1516)_CPHV900B Moosburg_MOOS149A",2
"159",14,72,24,NA,32,57,82,NA,68,46,38,NA,"Angers (?)_ANGERS130",1
"160",14,72,24,NA,32,57,83,NA,68,28,38,NA,"St. Peter's Cardena_CHANT52",1
"161",14,72,24,NA,32,57,90,NA,68,28,38,NA,"St. Cyran_COMP1-2",1
"162",14,72,24,NA,32,57,NA,NA,NA,NA,NA,NA,"Bamberg_BAMB25B Coutances_BN27932",2
"163",14,72,24,NA,32,68,11,NA,82,28,40,NA,"Ste Croix-de-Poitiers_BN560",1
"164",14,72,24,NA,32,68,28,NA,57,82,38,NA,"_S.1964-1",1
"165",14,72,24,NA,32,68,46,NA,57,81,51,NA,"St. John's of Monza_MONZA16",1
"166",14,72,24,NA,32,68,57,NA,28,11,1,NA,"Marbach_STRASN2",1
"167",14,72,24,NA,32,68,57,NA,28,11,38,NA,"Marbach_NUE28603",1
"168",14,72,24,NA,32,68,57,NA,28,38,1,NA,"Constance_CPHN33D",1
"169",14,72,24,NA,32,68,57,NA,28,40,38,82,"St. Gallen_SGAL389",1
"170",14,72,24,NA,32,68,57,NA,28,40,38,NA,"Klosterneuburg_KLNB1011B Worms_BN1310B Speyer_SELS127 _ZUR65",4
"171",14,72,24,NA,32,68,57,NA,28,40,79,NA,"Grossmünster_FREIB1146",1
"172",14,72,24,NA,32,68,57,NA,28,40,82,38,"St. Gallen_SGAL391",1
"173",14,72,24,NA,32,68,57,NA,28,40,NA,NA,"Rheinau_ZUR28",1
"174",14,72,24,NA,32,68,57,NA,28,79,38,NA,"San Vito_VAT4749",1
"175",14,72,24,NA,32,68,57,NA,28,79,40,NA,"San Vito_VAT283",1
"176",14,72,24,NA,32,68,57,NA,28,82,58,NA,"Fulda_VAT525",1
"177",14,72,24,NA,32,68,57,NA,28,82,83,58,"Fulda_FULD136B",1
"178",14,72,24,NA,32,68,57,NA,40,79,38,NA,"St. Jean-de-Maurienne_ROMONTSN",1
"179",14,72,24,NA,32,68,57,NA,40,83,38,NA,"Geneva_VAT538",1
"180",14,72,24,NA,32,68,57,NA,46,40,38,NA,"Romano-Germanic Pontificial_BAMB53 Gondekar's Pontificial_EICHSTSN Otto of Riedenburg's Pontifici_BN1231B",3
"181",14,72,24,NA,32,68,57,NA,47,83,38,NA,"Chur_STUTT104",1
"182",14,72,24,NA,32,68,57,NA,79,40,38,NA,"Prague_PRAG9B",1
"183",14,72,24,NA,32,68,57,NA,79,40,89,NA,"Como_MIL16",1
"184",14,72,24,NA,32,68,57,NA,79,83,38,NA,"Embrun_S.1930 Moutiers-en-Tarentaise_BN18000",2
"185",14,72,24,NA,32,68,57,NA,79,83,40,NA,"Moutiers-en-Tarentaise_MOUTSN",1
"186",14,72,24,NA,32,68,57,NA,79,NA,NA,NA,"Como_MIL40",1
"187",14,72,24,NA,32,68,57,NA,83,40,38,NA,"Lausanne_S.1934-1",1
"188",14,72,24,NA,32,68,57,NA,83,79,38,NA,"St. Florinus Coblenz_TREV521",1
"189",14,72,24,NA,32,68,58,NA,79,46,40,38,"Fontevrault_BN27796",1
"190",14,72,24,NA,32,68,85,NA,28,40,38,NA,"Magdeburg_BL8075B Merseburg_S.1932-7 Halle_MIL1335B",3
"191",14,72,24,NA,32,82,57,NA,68,79,40,NA,"St. Abondino_VIT2110",1
"192",14,72,24,NA,32,91,57,NA,79,68,38,NA,"Morienval_CHARL14",1
"193",14,72,24,NA,32,NA,46,NA,68,82,38,NA,"Toul_BN1874",1
"194",14,72,24,NA,36,32,57,NA,28,68,40,38,"Siena_B1199",1
"195",14,72,24,NA,36,32,57,NA,68,28,40,38,"Siena_SIENA7",1
"196",14,72,24,NA,40,32,57,NA,68,28,38,NA,"_MONZAB15",1
"197",14,72,24,NA,46,32,57,NA,4,71,40,NA,"_VAT74",1
"198",14,72,24,NA,46,32,57,NA,28,46,38,40,"_DUN(3)",1
"199",14,72,24,NA,46,32,57,NA,28,71,38,40,"Sta Sophia_VAT4928",1
"200",14,72,24,NA,46,32,57,NA,28,71,38,NA,"Sta Sophia_VAT176",1
"201",14,72,24,NA,46,32,57,NA,68,28,38,40,"Roman_PER28 Franciscan_CLG107 _UPS517(1) Austin Friars_METZ584 Rodez_GEN202",5
"202",14,72,24,NA,46,32,57,NA,68,28,38,56,"Tournai_CPHG1605",1
"203",14,72,24,NA,46,32,57,NA,68,28,38,NA,"Roman_S.1938-10 Limoges_BN1396 St. Ulrich & Afra Augsburg_VAT517 Poor Clares_LISB166",4
"204",14,72,24,NA,46,32,57,NA,68,28,40,38,"Pontetetto_LUCCA603 Poor Clares_ASSDSN Aquileia_UDINE9 Olivetans_MIL18 Roman_BN4162 _ESC29 Austin Friars_VAT698 Badia Florence_OXF392 Ascoli Piceno_VAT6255 Chezal-Benoit_CL-FD87 Franciscan_CORT6 St. Peter's Perugia_FLO461 Taranto_VAT107 Bergamo_VAT7724 Montecassino_BN1687 Padua_VAT1009 Freising_BL18307 Melk_CPHV896 Beaumont-les-Tours_B1242 Neresheim_OXF304 Senlis_ARS2780",21
"205",14,72,24,NA,46,32,57,NA,68,28,40,NA,"Lucca_LUCCA609 Roman_ASS694 Franciscan_MUNSN Antonite_LYO551 _CL-FD85 Rodez_BN1306 Vallumbrosan_VCE145 Bologna_OXF221 Sts. Ulrich and Afra_EBAMS17 St. Fredian's_TORT10",10
"206",14,72,24,NA,46,32,57,NA,68,28,NA,NA,"Roman_LAMB199 San Sisto_BN10530",2
"207",14,72,24,NA,46,32,57,NA,68,40,38,NA,"Limoges_VAT184",1
"208",14,72,24,NA,46,32,57,NA,68,51,38,40,"Bordeaux_BORD920",1
"209",14,72,24,NA,46,32,57,NA,68,51,40,NA,"Bordeaux_BORD86",1
"210",14,72,24,NA,46,32,57,NA,68,79,38,NA,"_S.1939-1",1
"211",14,72,24,NA,46,32,57,NA,68,82,38,NA,"_RIOM21",1
"212",14,72,24,NA,46,32,57,NA,NA,NA,38,NA,"Roman_ARS434",1
"213",14,72,24,NA,46,32,57,NA,NA,NA,NA,NA,"Glandeves_BN1312",1
"214",14,72,24,NA,46,57,28,NA,68,71,40,NA,"Carinola_OXF339",1
"215",14,72,24,NA,46,68,57,NA,24,28,38,NA,"_NYPML6",1
"216",14,72,24,NA,47,1,79,NA,83,18,38,NA,"_EPIN127D",1
"217",14,72,24,NA,47,1,83,NA,79,18,38,NA,"Interlaken_METZ464D St. Maurice-en-Valais_VAT65D",2
"218",14,72,24,NA,56,46,58,NA,32,68,38,NA,"Orleans_BN14827",1
"219",14,72,24,NA,57,24,68,NA,28,46,38,NA,"_CPHN28",1
"220",14,72,24,NA,57,32,28,NA,68,82,40,NA,"_ANGERS91",1
"221",14,72,24,NA,57,32,40,NA,68,18,38,NA,"Premonstratensian_MUN17010 Hildesheim_BERL319B",2
"222",14,72,24,NA,57,32,40,NA,68,28,38,NA,"_VAT33B",1
"223",14,72,24,NA,57,32,40,NA,68,36,38,NA,"Ste Godeberta_BOLGSN",1
"224",14,72,24,NA,57,32,40,NA,68,58,38,NA,"_ARS280",1
"225",14,72,24,NA,57,32,68,NA,18,40,38,NA,"Seebach_CON1B",1
"226",14,72,24,NA,57,32,68,NA,28,46,38,NA,"_BN18026",1
"227",14,72,24,NA,57,32,68,NA,67,51,38,NA,"Ivrea_IVREA62",1
"228",14,72,24,NA,57,32,68,NA,67,68,40,NA,"Pavia_PAVM12",1
"229",14,72,24,NA,57,68,32,NA,83,11,38,NA,"_VAT61",1
"230",14,72,24,NA,68,32,38,NA,57,28,40,NA,"Perigueux_S.1932-1",1
"231",14,72,24,NA,68,32,46,NA,57,36,40,NA,"St. Hilaire-le-Grand_POIT26",1
"232",14,72,24,NA,68,32,57,NA,28,11,1,NA,"Basle St. Leonhard_ENGEL107",1
"233",14,72,24,NA,68,57,82,NA,32,58,38,NA,"Windesheim_GRGT(2)B Weidenbach Cologne_DARM848B",2
"234",14,72,24,NA,68,57,82,NA,90,40,38,NA,"St. Nicholas_TOULSN1",1
"235",14,72,24,NA,68,57,82,NA,93,58,29,38,"Utrecht_UTR12",1
"236",14,72,24,NA,68,57,82,NA,93,58,29,NA,"Utrecht_HAAG47B",1
"237",14,72,24,NA,68,57,82,NA,93,58,38,29,"Utrecht_CPHG3445B",1
"238",14,72,24,NA,75,32,57,NA,28,71,40,NA,"Carthusian(S. Martino)_NAPOLI7",1
"239",14,72,24,NA,79,32,57,NA,68,28,38,NA,"St. Simeon Trier_TREV427B",1
"240",14,72,24,NA,82,32,57,NA,68,28,38,46,"Braga_BRAGASEM",1
"241",14,72,24,NA,82,32,57,NA,68,28,38,NA,"St. Denis Rheims_BN915 Rheims_BN18021 La Couture_GEN1372 Notre-Dame-des-Pres-les-Troyes_B1234",4
"242",14,72,24,NA,82,32,57,NA,68,28,40,38,"Rheims_TROY1951",1
"243",14,72,24,NA,82,32,57,NA,68,28,46,38,"Braga_BRAGAMUS",1
"244",14,72,24,NA,82,32,57,NA,68,28,46,NA,"Braga_BRAGA1933 Croix-St-Leufroy_BOUV(2)",2
"245",14,72,24,NA,82,32,57,NA,68,83,38,NA,"_BN4509",1
"246",14,72,24,NA,82,32,57,NA,68,89,40,38,"Laon_LAON263",1
"247",14,72,24,NA,82,32,57,NA,79,83,38,NA,"St. Etienne-de-Dijon_DIJON1665 Langres_CPHT540",2
"248",14,72,24,NA,82,32,57,NA,NA,NA,NA,NA,"Braga_VAT164",1
"249",14,72,24,NA,82,32,NA,NA,NA,NA,NA,NA,"_LAON226",1
"250",14,72,24,NA,82,57,32,NA,28,68,38,NA,"_DOLE45",1
"251",14,72,24,NA,83,93,18,NA,58,79,38,NA,"Soignies_BRU4483",1
"252",14,72,24,NA,90,32,40,NA,68,28,38,NA,"Westminster_OXF10",1
"253",14,72,24,NA,90,32,57,NA,28,46,38,NA,"Vergy_MONTS36",1
"254",14,72,24,NA,90,32,57,NA,28,46,40,NA,"St. Vedast_ARRAS465",1
"255",14,72,24,NA,90,32,57,NA,28,68,40,38,"Sherborne_CAM422",1
"256",14,72,24,NA,90,32,57,NA,68,28,38,46,"Fecamp_ROUEN253 Marmoutier_GEN1370",2
"257",14,72,24,NA,90,32,57,NA,68,28,38,NA,"Tulle_BN1257 St. Frideswide Oxford_BL157 St. Maur-des-Fosses_BN12037 Marchiennes_DOUAI138 Faremoutiers_MAZ349 Sepulchre de Cambrai_CAMBR102 _CPHN29 Beaulieu-les-Loches_LOCH7 St. Serge_S.1938-2 St. Laumer_VAT60 St. Melaine_BN27701 St. Martial_BN783",12
"258",14,72,24,NA,90,32,57,NA,68,28,40,38,"St. Albans_BL6 Lyre_BL16975 St. Martial_BN1088 Tynemouth_OXF18",4
"259",14,72,24,NA,90,32,57,NA,68,28,40,NA,"Chester_OXF169 Bec_LAON255 Hyde Abbey_BL960 _EVREUX116 St. Ouen_BRU3827 Bonne Nouvelle_ROUEN254",6
"260",14,72,24,NA,90,32,57,NA,68,28,46,38,"Marchiennes_DOUAI68 Westminster_BL22 Fecamp_FEC186 Mont-Saint-Michel_AVRAN168 St. Pierre-le-Vif_BN1041 Norwich (Cathedral) OSB_BL3950 Evesham_OXF41 St. Faron_MEAUX4 St. Germain-des-Pres_BN13239 St. Vincent_LAON214 Soeiro_BRAGA657 _BERNE768 St. Serge_EBAMS10 St. Florent-les-Saumur_BRU5155 St. Julian_TOURS230 St. Ouen_BN19214 San Benito el Real_BLSN(3)",17
"261",14,72,24,NA,90,32,57,NA,68,28,46,40,"Montier-la-Celle_TROY109",1
"262",14,72,24,NA,90,32,57,NA,68,28,46,NA,"Moissac_OXF45 Winchcombe_VAL196 Jumieges_ROUEN211 Mont-Saint-Michel_AVRAN39 St. Benigne-de-Dijon_DIJON113 St. Tierry_REIMS314 St. Amand_BN13260 St. Vedast_ARRAS729 Bourgueil_BN1043 Troarn_BN13242B _ESC36 Sepulchre de Cambrai_CAMBR111 St. Bertin_ST.OM422 St. Ghislain_BRU4956 St. Victor Marseilles_AIX14 Montmajour_AIX101D San Benito el Real_MIL882 Monastery of Corbie_BN11949 Evesham_BL44874 Brooholm_OXF1523 Vendome_VEND17 St. Ouen_ROUEN192 St. Germain-des-Pres_BN12043 St. Maur-des-Fosses_BN12042 Cluny_BN27827 St. Remy_GEN2613 Villeneuve-les-Avignon_AIX159",27
"263",14,72,24,NA,90,32,57,NA,68,28,79,NA,"Northern Italy_VAT173",1
"264",14,72,24,NA,90,32,57,NA,68,28,82,NA,"Silos_BL30850 Villeneuve-les-Avignon_BESAN137",2
"265",14,72,24,NA,90,32,57,NA,68,28,83,38,"Sainte-Foy of Conques_BOUV(1)",1
"266",14,72,24,NA,90,32,57,NA,68,36,46,38,"Josaphat-les-Chartres_CHARTR541",1
"267",14,72,24,NA,90,32,57,NA,68,40,38,NA,"Todi_VAT530 St. Martial_MAZ11873",2
"268",14,72,24,NA,90,32,57,NA,68,40,79,31,"Piacenza_PIAC54B",1
"269",14,72,24,NA,90,32,57,NA,68,40,79,38,"St. Peter's Ravenna_OXF321",1
"270",14,72,24,NA,90,32,57,NA,68,40,79,72,"_TOL20",1
"271",14,72,24,NA,90,32,57,NA,68,46,38,NA,"St. Aubin_BNSN(1) Vendome_BN27910 St. Maximin Trier_TREV404",3
"272",14,72,24,NA,90,32,57,NA,68,46,60,NA,"_BN4758",1
"273",14,72,24,NA,90,32,57,NA,68,52,40,38,"Ivrea_IVREA31",1
"274",14,72,24,NA,90,32,57,NA,68,79,38,NA,"Lodi_BN1030",1
"275",14,72,24,NA,90,32,57,NA,68,79,40,NA,"Asti_MAZ525",1
"276",14,72,24,NA,90,32,57,NA,68,NA,NA,NA,"Cormery_ROUEN133 St. Vedast_ARRAS783",2
"277",14,72,24,NA,90,32,57,NA,83,28,46,NA,"La Grasse_GRASS1513",1
"278",14,72,24,NA,90,32,57,NA,NA,NA,NA,NA,"Jumieges_ROUEN226 Amiens(OSB)_CASS555",2
"279",14,72,24,NA,90,32,68,46,57,81,40,NA,"St. John's of Monza_MONZA12",1
"280",14,72,24,NA,90,32,68,NA,46,28,82,NA,"Aniane_MTP118",1
"281",14,72,24,NA,90,32,68,NA,46,NA,NA,NA,"Aniane_MTP119",1
"282",14,72,24,NA,90,32,68,NA,57,51,40,NA,"Bobbio_VAT5768",1
"283",14,72,24,NA,90,57,68,NA,28,40,82,NA,"St. Feliu_GERONA45",1
"284",14,72,24,NA,90,79,68,NA,83,32,38,NA,"_GAPS(2)",1
"285",14,72,24,NA,90,NA,NA,NA,68,28,46,NA,"Silos_BN2193",1
"286",14,72,24,NA,NA,57,40,28,68,82,38,NA,"St. Malo_BN2861",1
"287",14,72,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"_BL24683C Brussels_BRU10772C Autun_ARS634C St. Brieuc_BN14396 Tournai_S.1945-2 Ferrara_GEN98C",6
"288",14,72,28,NA,24,57,32,NA,68,40,38,NA,"Macon_BASLE43",1
"289",14,72,28,NA,46,32,57,NA,68,1,40,NA,"_LISB2",1
"290",14,72,32,58,68,57,NA,NA,NA,NA,NA,NA,"Angers_MCR25",1
"291",14,72,32,90,57,24,28,NA,68,40,46,7,"Prüm_LEIPZ93",1
"292",14,72,32,NA,24,57,12,68,76,40,38,NA,"Chartres_BN1752",1
"293",14,72,32,NA,24,57,12,NA,76,40,38,NA,"Chartres_VAT4756",1
"294",14,72,32,NA,24,57,28,NA,68,82,38,NA,"Treguier_LYO577",1
"295",14,72,32,NA,24,57,64,NA,28,40,38,NA,"Jerusalem_LUCCA5",1
"296",14,72,32,NA,24,57,64,NA,46,68,40,NA,"St. Fabian of Fibbia_VOL5403",1
"297",14,72,32,NA,24,57,68,12,76,40,38,NA,"Chartres_M.C.21532",1
"298",14,72,32,NA,24,57,68,NA,28,46,38,NA,"Chartres_BN1754",1
"299",14,72,32,NA,24,57,68,NA,76,36,38,NA,"St. Jean-en-Vallee_BN17300",1
"300",14,72,32,NA,24,57,68,NA,76,40,38,NA,"St. Jean-en-Vallee_BN1794 Chartres_ARS649 _BN3835",3
"301",14,72,32,NA,24,57,68,NA,82,28,38,NA,"St. Paul Verdun_LAON226",1
"302",14,72,32,NA,24,57,68,NA,82,40,38,NA,"_S.1933-3 St. Memmie-de-Chalons_CHALD5D Hamburg_MIL1869B",3
"303",14,72,32,NA,24,57,68,NA,90,40,38,NA,"Angers_BN1376",1
"304",14,72,32,NA,24,68,40,NA,83,82,38,NA,"Mont-Saint-Quentin_ARS120",1
"305",14,72,32,NA,36,68,46,NA,51,24,83,38,"Porquerolles_ARS132",1
"306",14,72,32,NA,36,68,46,NA,51,40,38,NA,"_COLLJ-B2",1
"307",14,72,32,NA,57,24,28,NA,68,40,46,NA,"Prüm_TRV597",1
"308",14,72,32,NA,57,24,68,NA,28,40,38,NA,"St. Magloire-de-Lehon_MAZ346",1
"309",14,72,32,NA,57,24,68,NA,28,46,38,NA,"Soissons_WAG38",1
"310",14,72,32,NA,57,24,68,NA,28,46,40,38,"Soissons_BN1259",1
"311",14,72,32,NA,57,24,68,NA,46,28,38,NA,"_LYO5146",1
"312",14,72,32,NA,57,28,68,NA,24,46,38,NA,"Soissons_ARS102D",1
"313",14,72,32,NA,57,68,46,NA,79,83,38,NA,"Erfurt_BL8192",1
"314",14,72,32,NA,57,68,57,NA,40,NA,38,NA,"_S.1939-4",1
"315",14,72,32,NA,57,68,58,NA,46,40,38,NA,"Senlis_BN1031",1
"316",14,72,32,NA,57,68,58,NA,46,82,38,NA,"Senlis_GEN124",1
"317",14,72,32,NA,57,68,58,NA,46,82,40,38,"Senlis_GEN1261",1
"318",14,72,32,NA,57,68,82,NA,36,46,40,38,"Eberhardsklausen_TREV439B",1
"319",14,72,32,NA,57,68,82,NA,36,46,40,NA,"Mainz_VAT4763",1
"320",14,72,32,NA,68,24,46,NA,28,57,38,NA,"Sens_BN1210",1
"321",14,72,32,NA,68,24,46,NA,84,40,38,NA,"Sens_AUX60(1)",1
"322",14,72,32,NA,68,24,46,NA,NA,NA,NA,NA,"Sens_SENS29",1
"323",14,72,32,NA,68,57,36,NA,64,1,38,NA,"_CAM6",1
"324",14,72,32,NA,68,57,46,NA,28,40,38,NA,"St. James of Melun_BN1206",1
"325",14,72,32,NA,68,57,46,NA,82,40,38,NA,"St. Quiriace of Provins_PROV229",1
"326",14,72,32,NA,68,57,79,NA,1,40,38,NA,"Belley_BN27754",1
"327",14,72,32,NA,68,57,79,NA,83,40,38,NA,"Gap_BN1605",1
"328",14,72,32,NA,68,57,82,NA,79,83,38,NA,"Viviers_BN659",1
"329",14,72,32,NA,68,57,82,NA,90,40,38,NA,"Angers_MIL46",1
"330",14,72,32,NA,68,79,83,NA,57,40,38,NA,"Frejus_BN1261",1
"331",14,72,32,NA,82,93,58,NA,13,40,38,NA,"Essommes_AMIENS-62",1
"332",14,72,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sens_BN1535C Tournai_S.1942",2
"333",14,72,36,NA,90,32,67,NA,68,28,38,NA,"Hasnon_VERD113",1
"334",14,72,36,NA,90,32,67,NA,68,46,38,NA,"St. Pierre-aux-Monts_CHAL16",1
"335",14,72,38,NA,32,68,57,NA,40,58,13,NA,"St. Ghislain_BRU10770",1
"336",14,72,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Besancon_BL2947C Roman_SERCYSN2C Tournai_S.1938-9 Poitiers_BRU10531C Brussels_BRU2895C Avranches_ROUEN328C Cambrai_BRU10532C Dijon_S.1937-6 Langres_BN1186C Paris_LYO5150C Rouen_BN10546C Therouanne_BN1424C _CPHT546C Orleans_FRFT121C Troyes_ARS651C",15
