"Source","Target","Weight"
"Cambrai_CAMBR193","St. Gery_CAMBR235","9"
"Lyons_LYO70","Die_AVIGN127","9"
"Carthusian_CHARL182","Grandmontine_BN16306","6"
"Evora_PORT843","Santa Cruz de Coimbra_PORT1159","9"
"Evora_PORT843","St. James of Compostela_MADR382","9"
"Evora_PORT843","Braga_ESC10","9"
"Evora_PORT843","St. Rufus_LYO44","9"
"Evora_PORT843","Tortosa_MADR14604","9"
"Evora_PORT843","Grasse_CARP42","9"
"Santa Cruz de Coimbra_PORT1159","St. James of Compostela_MADR382","9"
"Santa Cruz de Coimbra_PORT1159","Braga_ESC10","9"
"Santa Cruz de Coimbra_PORT1159","St. Rufus_LYO44","9"
"Santa Cruz de Coimbra_PORT1159","Tortosa_MADR14604","9"
"Santa Cruz de Coimbra_PORT1159","Grasse_CARP42","9"
"St. James of Compostela_MADR382","Braga_ESC10","9"
"St. James of Compostela_MADR382","St. Rufus_LYO44","9"
"St. James of Compostela_MADR382","Tortosa_MADR14604","9"
"St. James of Compostela_MADR382","Grasse_CARP42","9"
"Braga_ESC10","St. Rufus_LYO44","9"
"Braga_ESC10","Tortosa_MADR14604","9"
"Braga_ESC10","Grasse_CARP42","9"
"St. Rufus_LYO44","Tortosa_MADR14604","9"
"St. Rufus_LYO44","Grasse_CARP42","9"
"Tortosa_MADR14604","Grasse_CARP42","9"
"Chaise-Dieu_VES14","Chaise-Dieu_CL-FD5009","9"
"Carpentras_VAT53","Arles_BN1091","7"
"St. Etienne-de-Troyes_TROY1043","Orleans_BN14827","6"
"St. Etienne-de-Troyes_TROY1043","Windesheim_GRGT(2)B","6"
"St. Etienne-de-Troyes_TROY1043","Weidenbach Cologne_DARM848B","6"
"Lerins_BN10486","Vergy_MONTS36","6"
"Lerins_BN10486","St. Amand_VAL116","6"
"Lerins_BN10486","St. Vedast_ARRAS465","6"
"Lerins_BN10486","Tulle_BN1257","6"
"Lerins_BN10486","St. Frideswide Oxford_BL157","6"
"Lerins_BN10486","St. Maur-des-Fosses_BN12037","6"
"Lerins_BN10486","Marchiennes_DOUAI138","6"
"Lerins_BN10486","Faremoutiers_MAZ349","6"
"Lerins_BN10486","Sepulchre de Cambrai_CAMBR102","6"
"Lerins_BN10486","_CPHN29","6"
"Lerins_BN10486","Beaulieu-les-Loches_LOCH7","6"
"Lerins_BN10486","St. Serge_S.1938-2","6"
"Lerins_BN10486","St. Laumer_VAT60","6"
"Lerins_BN10486","St. Melaine_BN27701","6"
"Lerins_BN10486","Fecamp_ROUEN253","6"
"Lerins_BN10486","Marmoutier_GEN1370","6"
"Lerins_BN10486","St. Martial_BN783","6"
"Lerins_BN10486","Vezelay_LYO555","6"
"Lerins_BN10486","Chester_OXF169","6"
"Lerins_BN10486","Bec_LAON255","6"
"Lerins_BN10486","Hyde Abbey_BL960","6"
"Lerins_BN10486","_EVREUX116","6"
"Lerins_BN10486","St. Albans_BL6","6"
"Lerins_BN10486","Lyre_BL16975","6"
"Lerins_BN10486","St. Martial_BN1088","6"
"Lerins_BN10486","Tynemouth_OXF18","6"
"Lerins_BN10486","St. Ouen_BRU3827","6"
"Lerins_BN10486","Bonne Nouvelle_ROUEN254","6"
"Lerins_BN10486","Moissac_OXF45","6"
"Lerins_BN10486","Winchcombe_VAL196","6"
"Lerins_BN10486","Jumieges_ROUEN211","6"
"Lerins_BN10486","Mont-Saint-Michel_AVRAN39","6"
"Lerins_BN10486","St. Benigne-de-Dijon_DIJON113","6"
"Lerins_BN10486","St. Tierry_REIMS314","6"
"Lerins_BN10486","St. Amand_BN13260","6"
"Lerins_BN10486","St. Vedast_ARRAS729","6"
"Lerins_BN10486","Bourgueil_BN1043","6"
"Lerins_BN10486","Troarn_BN13242B","6"
"Lerins_BN10486","_ESC36","6"
"Lerins_BN10486","Sepulchre de Cambrai_CAMBR111","6"
"Lerins_BN10486","St. Bertin_ST.OM422","6"
"Lerins_BN10486","St. Ghislain_BRU4956","6"
"Lerins_BN10486","St. Victor Marseilles_AIX14","6"
"Lerins_BN10486","Montmajour_AIX101D","6"
"Lerins_BN10486","San Benito el Real_MIL882","6"
"Lerins_BN10486","Monastery of Corbie_BN11949","6"
"Lerins_BN10486","Evesham_BL44874","6"
"Lerins_BN10486","Brooholm_OXF1523","6"
"Lerins_BN10486","Marchiennes_DOUAI68","6"
"Lerins_BN10486","Westminster_BL22","6"
"Lerins_BN10486","Fecamp_FEC186","6"
"Lerins_BN10486","Mont-Saint-Michel_AVRAN168","6"
"Lerins_BN10486","St. Pierre-le-Vif_BN1041","6"
"Lerins_BN10486","Norwich (Cathedral) OSB_BL3950","6"
"Lerins_BN10486","Evesham_OXF41","6"
"Lerins_BN10486","St. Faron_MEAUX4","6"
"Lerins_BN10486","St. Germain-des-Pres_BN13239","6"
"Lerins_BN10486","St. Vincent_LAON214","6"
"Lerins_BN10486","Soeiro_BRAGA657","6"
"Lerins_BN10486","_BERNE768","6"
"Lerins_BN10486","St. Serge_EBAMS10","6"
"Lerins_BN10486","St. Florent-les-Saumur_BRU5155","6"
"Lerins_BN10486","St. Julian_TOURS230","6"
"Lerins_BN10486","St. Ouen_BN19214","6"
"Lerins_BN10486","San Benito el Real_BLSN(3)","6"
"Lerins_BN10486","Vendome_VEND17","6"
"Lerins_BN10486","Montier-la-Celle_TROY109","6"
"Lerins_BN10486","St. Ouen_ROUEN192","6"
"Lerins_BN10486","St. Germain-des-Pres_BN12043","6"
"Lerins_BN10486","St. Maur-des-Fosses_BN12042","6"
"Lerins_BN10486","Cluny_BN27827","6"
"Lerins_BN10486","Arles-sur-Tech_NARB166","6"
"Lerins_BN10486","Sherborne_OXF12","6"
"Lerins_BN10486","Anchin_DOUAI159","6"
"Lerins_BN10486","St. Remy_GEN2613","6"
"Lerins_BN10486","Bourgueil_BN1071","6"
"Lerins_BN10486","Villeneuve-les-Avignon_AIX159","6"
"Lerins_BN10486","Northern Italy_VAT173","7"
"Lerins_BN10486","Silos_BL30850","6"
"Lerins_BN10486","Villeneuve-les-Avignon_BESAN137","6"
"Lerins_BN10486","Sainte-Foy of Conques_BOUV(1)","6"
"Lerins_BN10486","Josaphat-les-Chartres_CHARTR541","6"
"Lerins_BN10486","Todi_VAT530","6"
"Lerins_BN10486","St. Martial_MAZ11873","6"
"Lerins_BN10486","Piacenza_PIAC54B","7"
"Lerins_BN10486","St. Peter's Ravenna_OXF321","7"
"Lerins_BN10486","_TOL20","7"
"Lerins_BN10486","St. Aubin_BNSN(1)","7"
"Lerins_BN10486","Vendome_BN27910","7"
"Lerins_BN10486","St. Maximin Trier_TREV404","7"
"Lerins_BN10486","_BN4758","7"
"Lerins_BN10486","Lodi_BN1030","6"
"Lerins_BN10486","Asti_MAZ525","6"
"Lerins_BN10486","St. Pierre-aux-Monts_CHAL16","6"
"Lerins_BN10486","_GEN2628","6"
"Lerins_BN10486","St. Oyan_BN3042","6"
"Lerins_BN10486","Sta Maria in Trastevere_MCR74","6"
"Lerins_BN10486","Humiliati_MIL267","6"
"Lerins_BN10486","Segovia_MADR6491","6"
"Lerins_BN10486","Agen_AGENSN","6"
"Lerins_BN10486","Pavia_MIL512","6"
"Lerins_BN10486","Reggio Emilia_MIL27","6"
"Lerins_BN10486","Ivrea_IVREA31","6"
"St. Severus Erfurt_BN4954B","St. Mary`s York_CAM27","6"
"St. Severus Erfurt_BN4954B","Bayeux_BAYEUX74D","6"
"St. Severus Erfurt_BN4954B","Sarum_S.1953-1","6"
"St. Severus Erfurt_BN4954B","Jerusalem_BL1139","6"
"St. Severus Erfurt_BN4954B","Hospitallers_MAZ355","6"
"St. Severus Erfurt_BN4954B","Marguerite's Hours_BL36684","6"
"St. Severus Erfurt_BN4954B","Brigittine_UPS489","6"
"St. Severus Erfurt_BN4954B","Blaubeuren_STUTT118","6"
"St. Severus Erfurt_BN4954B","Bayeux_GEN2712","6"
"St. Severus Erfurt_BN4954B","Zwiefalten_STUTT117","6"
"St. Severus Erfurt_BN4954B","Remiremont_BN1508","6"
"St. Severus Erfurt_BN4954B","Hospitallers_STRASN1","6"
"St. Severus Erfurt_BN4954B","Zwiefalten_STUTT116","6"
