"from","to","Weight"
"Ste Croix Paris_MAZ372","Abo_STKHSN1","9"
"Ste Croix Paris_MAZ372","Mercedarians_MADR14265","9"
"Ste Croix Paris_MAZ372","Dominican_CPHN632","9"
"Ste Croix Paris_MAZ372","Dominican Vienna_VIE1894","9"
"Teutonic Order_FULD122B","_STKH102","9"
"Teutonic Order_FULD122B","Uppsala_STKHTL","9"
"Teutonic Order_FULD122B","Skara_UPS97","9"
"Teutonic Order_FULD122B","Västeras_GEN1292","9"
"Teutonic Order_FULD122B","Abo_STKHSN1","9"
"Teutonic Order_FULD122B","Mercedarians_MADR14265","9"
"Teutonic Order_FULD122B","Dominican_CPHN632","9"
"Teutonic Order_FULD122B","Dominican Vienna_VIE1894","9"
"_STKH102","Uppsala_STKHTL","9"
"_STKH102","Skara_UPS97","9"
"_STKH102","Västeras_GEN1292","9"
"_STKH102","Abo_STKHSN1","9"
"_STKH102","Mercedarians_MADR14265","9"
"_STKH102","Dominican_CPHN632","9"
"_STKH102","Dominican Vienna_VIE1894","9"
"Uppsala_STKHTL","Skara_UPS97","9"
"Uppsala_STKHTL","Västeras_GEN1292","9"
"Uppsala_STKHTL","Abo_STKHSN1","9"
"Uppsala_STKHTL","Mercedarians_MADR14265","9"
"Uppsala_STKHTL","Dominican_CPHN632","9"
"Uppsala_STKHTL","Dominican Vienna_VIE1894","9"
"Skara_UPS97","Västeras_GEN1292","9"
"Skara_UPS97","Abo_STKHSN1","9"
"Skara_UPS97","Mercedarians_MADR14265","9"
"Skara_UPS97","Dominican_CPHN632","9"
"Skara_UPS97","Dominican Vienna_VIE1894","9"
"Västeras_GEN1292","Abo_STKHSN1","9"
"Västeras_GEN1292","Mercedarians_MADR14265","9"
"Västeras_GEN1292","Dominican_CPHN632","9"
"Västeras_GEN1292","Dominican Vienna_VIE1894","9"
"Abo_STKHSN1","Mercedarians_MADR14265","9"
"Abo_STKHSN1","Dominican_CPHN632","9"
"Abo_STKHSN1","Dominican Vienna_VIE1894","9"
"Mercedarians_MADR14265","Dominican_CPHN632","9"
"Mercedarians_MADR14265","Dominican Vienna_VIE1894","9"
"Dominican_CPHN632","Dominican Vienna_VIE1894","9"
"Pontetetto_LUCCA601","Lucca_LUCCA606","9"
"Nidaros_CPHN133","Carmelite_BLU-C","9"
"Nidaros_CPHN133","Hereford_HEREFDSN","9"
"Nidaros_CPHN133","Lincoln_BL38116","9"
"Nidaros_CPHN133","Metz_ARS570","9"
"Nidaros_CPHN133","Sarum_BL305","9"
"Nidaros_CPHN133","Templars_BN10478D","9"
"Nidaros_CPHN133","Rennes_S.1893","9"
"Nidaros_CPHN133","Oxford_VAT4757","9"
"Nidaros_CPHN133","Rouen_BN4600","9"
"Nidaros_CPHN133","_HAAG68","9"
"Nidaros_CPHN133","St. Arnulf_METZ333","9"
"Nidaros_CPHN133","Lisieux_CAEN17","9"
"Nidaros_CPHN133","Coutances_S.1953-2","9"
"Nidaros_CPHN133","The Hague_HAAG73B","9"
"Nidaros_CPHN133","Hospitallers_BN1400","9"
"Nidaros_CPHN133","Hours of Marie de Bohun_CPHT547","9"
"Nidaros_CPHN133","Montieramey_BN1063","9"
"Nidaros_CPHN133","Seez_BN1272","9"
"Nidaros_CPHN133","St. Lo-de-Rouen_GEN1265","9"
"Nidaros_CPHN133","St. Jacut-de-la-Mer_BN3081","9"
"Nidaros_CPHN133","St. Sauveur Toul_BN17998","9"
"Nidaros_CPHN133","St. Lo-de-Coutances_GEN2722","9"
"Nidaros_CPHN133","Dol_OXF26","9"
"Nidaros_CPHN133","Aversa_VAT12","9"
"Nidaros_CPHN133","Vannes_GEN225","9"
"Nidaros_CPHN133","Crowland_BL230","9"
"Nidaros_CPHN133","Sarum_EDINB13","9"
"Nidaros_CPHN133","Coutances_BN786D","9"
"Nidaros_CPHN133","Lisieux_GEN113","9"
"Nidaros_CPHN133","Rouen_ROUEN326","9"
"Nidaros_CPHN133","_S.1935-5","9"
"Nidaros_CPHN133","Brigittine (Syon)_OXF4","9"
"Nidaros_CPHN133","Aberdeen_ABERDSN","9"
"Nidaros_CPHN133","Rouen_BN10549","9"
