"from","to","Weight"
"Cambrai_CAMBR93","St. Gery_CAMBR105","9"
"Cambrai_CAMBR93","St. Gery_CAMBR203","9"
"Cambrai_CAMBR93","Cambrai_BRU2348","9"
"Cambrai_CAMBR93","Cambrai_BN27727","9"
"Cambrai_CAMBR93","Cambrai_GEN361","9"
"Cambrai_CAMBR93","Cambrai_CAMBR6","9"
"Cambrai_CAMBR93","Cambrai_CAMBR1014","9"
"Cambrai_CAMBR93","Cambrai_BN1720","9"
"Cambrai_CAMBR35","Cambrai_CAMBR1233","9"
"Cambrai_CAMBR35","Cambrai_ARS604","9"
"Cambrai_CAMBR35","Cambrai_CAMBR33","9"
"Cambrai_CAMBR35","Cambrai_CAMBR29","9"
"Cambrai_CAMBR35","Cambrai_CAMBR106","9"
"Cambrai_CAMBR35","Cambrai_CAMBR135","9"
"Cambrai_CAMBR35","Cambrai_METZ582","9"
"Cambrai_CAMBR35","Cambrai_CAMBR97","9"
"Cambrai_CAMBR35","Cambrai_CAMBR55","9"
"Cambrai_CAMBR35","Cambrai_CAMBR118","9"
"Cambrai_CAMBR35","Cambrai_CAMBR1343","9"
"Cambrai_CAMBR35","Cambrai_FRFT107","9"
"Cambrai_CAMBR35","St. Gery_CAMBR105","9"
"Cambrai_CAMBR35","St. Gery_CAMBR203","9"
"Cambrai_CAMBR35","Cambrai_BRU2348","9"
"Cambrai_CAMBR35","Cambrai_BN27727","9"
"Cambrai_CAMBR35","Cambrai_GEN361","9"
"Cambrai_CAMBR35","Cambrai_CAMBR6","9"
"Cambrai_CAMBR35","Cambrai_CAMBR1014","9"
"Cambrai_CAMBR35","Cambrai_BN1720","9"
"Cambrai_CAMBR1233","Cambrai_ARS604","9"
"Cambrai_CAMBR1233","Cambrai_CAMBR33","9"
"Cambrai_CAMBR1233","Cambrai_CAMBR29","9"
"Cambrai_CAMBR1233","Cambrai_CAMBR106","9"
"Cambrai_CAMBR1233","Cambrai_CAMBR135","9"
"Cambrai_CAMBR1233","Cambrai_METZ582","9"
"Cambrai_CAMBR1233","Cambrai_CAMBR97","9"
"Cambrai_CAMBR1233","Cambrai_CAMBR55","9"
"Cambrai_CAMBR1233","Cambrai_CAMBR118","9"
"Cambrai_CAMBR1233","Cambrai_CAMBR1343","9"
"Cambrai_CAMBR1233","Cambrai_FRFT107","9"
"Cambrai_CAMBR1233","St. Gery_CAMBR105","9"
"Cambrai_CAMBR1233","St. Gery_CAMBR203","9"
"Cambrai_CAMBR1233","Cambrai_BRU2348","9"
"Cambrai_CAMBR1233","Cambrai_BN27727","9"
"Cambrai_CAMBR1233","Cambrai_GEN361","9"
"Cambrai_CAMBR1233","Cambrai_CAMBR6","9"
"Cambrai_CAMBR1233","Cambrai_CAMBR1014","9"
"Cambrai_CAMBR1233","Cambrai_BN1720","9"
"Cambrai_ARS604","Cambrai_CAMBR33","9"
"Cambrai_ARS604","Cambrai_CAMBR29","9"
"Cambrai_ARS604","Cambrai_CAMBR106","9"
"Cambrai_ARS604","Cambrai_CAMBR135","9"
"Cambrai_ARS604","Cambrai_METZ582","9"
"Cambrai_ARS604","Cambrai_CAMBR97","9"
"Cambrai_ARS604","Cambrai_CAMBR55","9"
"Cambrai_ARS604","Cambrai_CAMBR118","9"
"Cambrai_ARS604","Cambrai_CAMBR1343","9"
"Cambrai_ARS604","Cambrai_FRFT107","9"
"Cambrai_ARS604","St. Gery_CAMBR105","9"
"Cambrai_ARS604","St. Gery_CAMBR203","9"
"Cambrai_ARS604","Cambrai_BRU2348","9"
"Cambrai_ARS604","Cambrai_BN27727","9"
"Cambrai_ARS604","Cambrai_GEN361","9"
"Cambrai_ARS604","Cambrai_CAMBR6","9"
"Cambrai_ARS604","Cambrai_CAMBR1014","9"
"Cambrai_ARS604","Cambrai_BN1720","9"
"Cambrai_CAMBR33","Cambrai_CAMBR29","9"
"Cambrai_CAMBR33","Cambrai_CAMBR106","9"
"Cambrai_CAMBR33","Cambrai_CAMBR135","9"
"Cambrai_CAMBR33","Cambrai_METZ582","9"
"Cambrai_CAMBR33","Cambrai_CAMBR97","9"
"Cambrai_CAMBR33","Cambrai_CAMBR55","9"
"Cambrai_CAMBR33","Cambrai_CAMBR118","9"
"Cambrai_CAMBR33","Cambrai_CAMBR1343","9"
"Cambrai_CAMBR33","Cambrai_FRFT107","9"
"Cambrai_CAMBR33","St. Gery_CAMBR105","9"
"Cambrai_CAMBR33","St. Gery_CAMBR203","9"
"Cambrai_CAMBR33","Cambrai_BRU2348","9"
"Cambrai_CAMBR33","Cambrai_BN27727","9"
"Cambrai_CAMBR33","Cambrai_GEN361","9"
"Cambrai_CAMBR33","Cambrai_CAMBR6","9"
"Cambrai_CAMBR33","Cambrai_CAMBR1014","9"
"Cambrai_CAMBR33","Cambrai_BN1720","9"
"Cambrai_CAMBR29","Cambrai_CAMBR106","9"
"Cambrai_CAMBR29","Cambrai_CAMBR135","9"
"Cambrai_CAMBR29","Cambrai_METZ582","9"
"Cambrai_CAMBR29","Cambrai_CAMBR97","9"
"Cambrai_CAMBR29","Cambrai_CAMBR55","9"
"Cambrai_CAMBR29","Cambrai_CAMBR118","9"
"Cambrai_CAMBR29","Cambrai_CAMBR1343","9"
"Cambrai_CAMBR29","Cambrai_FRFT107","9"
"Cambrai_CAMBR29","St. Gery_CAMBR105","9"
"Cambrai_CAMBR29","St. Gery_CAMBR203","9"
"Cambrai_CAMBR29","Cambrai_BRU2348","9"
"Cambrai_CAMBR29","Cambrai_BN27727","9"
"Cambrai_CAMBR29","Cambrai_GEN361","9"
"Cambrai_CAMBR29","Cambrai_CAMBR6","9"
"Cambrai_CAMBR29","Cambrai_CAMBR1014","9"
"Cambrai_CAMBR29","Cambrai_BN1720","9"
"Cambrai_CAMBR106","Cambrai_CAMBR135","9"
"Cambrai_CAMBR106","Cambrai_METZ582","9"
"Cambrai_CAMBR106","Cambrai_CAMBR97","9"
"Cambrai_CAMBR106","Cambrai_CAMBR55","9"
"Cambrai_CAMBR106","Cambrai_CAMBR118","9"
"Cambrai_CAMBR106","Cambrai_CAMBR1343","9"
"Cambrai_CAMBR106","Cambrai_FRFT107","9"
"Cambrai_CAMBR106","St. Gery_CAMBR105","9"
"Cambrai_CAMBR106","St. Gery_CAMBR203","9"
"Cambrai_CAMBR106","Cambrai_BRU2348","9"
"Cambrai_CAMBR106","Cambrai_BN27727","9"
"Cambrai_CAMBR106","Cambrai_GEN361","9"
"Cambrai_CAMBR106","Cambrai_CAMBR6","9"
"Cambrai_CAMBR106","Cambrai_CAMBR1014","9"
"Cambrai_CAMBR106","Cambrai_BN1720","9"
"Cambrai_CAMBR135","Cambrai_METZ582","9"
"Cambrai_CAMBR135","Cambrai_CAMBR97","9"
"Cambrai_CAMBR135","Cambrai_CAMBR55","9"
"Cambrai_CAMBR135","Cambrai_CAMBR118","9"
"Cambrai_CAMBR135","Cambrai_CAMBR1343","9"
"Cambrai_CAMBR135","Cambrai_FRFT107","9"
"Cambrai_CAMBR135","St. Gery_CAMBR105","9"
"Cambrai_CAMBR135","St. Gery_CAMBR203","9"
"Cambrai_CAMBR135","Cambrai_BRU2348","9"
"Cambrai_CAMBR135","Cambrai_BN27727","9"
"Cambrai_CAMBR135","Cambrai_GEN361","9"
"Cambrai_CAMBR135","Cambrai_CAMBR6","9"
"Cambrai_CAMBR135","Cambrai_CAMBR1014","9"
"Cambrai_CAMBR135","Cambrai_BN1720","9"
"Cambrai_METZ582","Cambrai_CAMBR97","9"
"Cambrai_METZ582","Cambrai_CAMBR55","9"
"Cambrai_METZ582","Cambrai_CAMBR118","9"
"Cambrai_METZ582","Cambrai_CAMBR1343","9"
"Cambrai_METZ582","Cambrai_FRFT107","9"
"Cambrai_METZ582","St. Gery_CAMBR105","9"
"Cambrai_METZ582","St. Gery_CAMBR203","9"
"Cambrai_METZ582","Cambrai_BRU2348","9"
"Cambrai_METZ582","Cambrai_BN27727","9"
"Cambrai_METZ582","Cambrai_GEN361","9"
"Cambrai_METZ582","Cambrai_CAMBR6","9"
"Cambrai_METZ582","Cambrai_CAMBR1014","9"
"Cambrai_METZ582","Cambrai_BN1720","9"
"Cambrai_CAMBR97","Cambrai_CAMBR55","9"
"Cambrai_CAMBR97","Cambrai_CAMBR118","9"
"Cambrai_CAMBR97","Cambrai_CAMBR1343","9"
"Cambrai_CAMBR97","Cambrai_FRFT107","9"
"Cambrai_CAMBR97","St. Gery_CAMBR105","9"
"Cambrai_CAMBR97","St. Gery_CAMBR203","9"
"Cambrai_CAMBR97","Cambrai_BRU2348","9"
"Cambrai_CAMBR97","Cambrai_BN27727","9"
"Cambrai_CAMBR97","Cambrai_GEN361","9"
"Cambrai_CAMBR97","Cambrai_CAMBR6","9"
"Cambrai_CAMBR97","Cambrai_CAMBR1014","9"
"Cambrai_CAMBR97","Cambrai_BN1720","9"
"Cambrai_CAMBR55","Cambrai_CAMBR118","9"
"Cambrai_CAMBR55","Cambrai_CAMBR1343","9"
"Cambrai_CAMBR55","Cambrai_FRFT107","9"
"Cambrai_CAMBR55","St. Gery_CAMBR105","9"
"Cambrai_CAMBR55","St. Gery_CAMBR203","9"
"Cambrai_CAMBR55","Cambrai_BRU2348","9"
"Cambrai_CAMBR55","Cambrai_BN27727","9"
"Cambrai_CAMBR55","Cambrai_GEN361","9"
"Cambrai_CAMBR55","Cambrai_CAMBR6","9"
"Cambrai_CAMBR55","Cambrai_CAMBR1014","9"
"Cambrai_CAMBR55","Cambrai_BN1720","9"
"Cambrai_CAMBR118","Cambrai_CAMBR1343","9"
"Cambrai_CAMBR118","Cambrai_FRFT107","9"
"Cambrai_CAMBR118","St. Gery_CAMBR105","9"
"Cambrai_CAMBR118","St. Gery_CAMBR203","9"
"Cambrai_CAMBR118","Cambrai_BRU2348","9"
"Cambrai_CAMBR118","Cambrai_BN27727","9"
"Cambrai_CAMBR118","Cambrai_GEN361","9"
"Cambrai_CAMBR118","Cambrai_CAMBR6","9"
"Cambrai_CAMBR118","Cambrai_CAMBR1014","9"
"Cambrai_CAMBR118","Cambrai_BN1720","9"
