"Source","Target","Weight"
"Rennes_GEN2679","Västeras_GEN1292","7"
"Rennes_GEN2679","Abo_STKHSN1","7"
"Rennes_GEN2679","Mercedarians_MADR14265","7"
"Rennes_GEN2679","Dominican_CPHN632","7"
"Rennes_GEN2679","Nidaros_CPHN133","8"
"Rennes_GEN2679","Carmelite_BLU-C","8"
"Rennes_GEN2679","Hereford_HEREFDSN","8"
"Rennes_GEN2679","Lincoln_BL38116","8"
"Rennes_GEN2679","Metz_ARS570","8"
"Rennes_GEN2679","Sarum_BL305","8"
"Rennes_GEN2679","Templars_BN10478D","8"
"Rennes_GEN2679","Reenes_S.1893","8"
"Rennes_GEN2679","Oxford_VAT4757","8"
"Rennes_GEN2679","Rennes_ARS616","8"
"Rennes_GEN2679","Rouen_BN4600","8"
"Rennes_GEN2679","_HAAG68","8"
"Rennes_GEN2679","St. Arnulf_METZ333","8"
"Rennes_GEN2679","Lisieux_CAEN17","8"
"Rennes_GEN2679","Coutances_S.1953-2","8"
"Rennes_GEN2679","The Hague_HAAG73B","8"
"Rennes_GEN2679","Hospitallers_BN1400","8"
"Rennes_GEN2679","Hours of Marie de Bohun_CPHT547","8"
"Rennes_GEN2679","Montieramey_BN1063","8"
"Rennes_GEN2679","Seez_BN1272","8"
"Rennes_GEN2679","St. Lo-de-Rouen_GEN1265","8"
"Rennes_GEN2679","St. Jacut-de-la-Mer_BN3081","8"
"Rennes_GEN2679","St. Sauveur Toul_BN17998","8"
"Rennes_GEN2679","St. Lo-de-Coutances_GEN2722","8"
"Rennes_GEN2679","Dol_OXF26","8"
"Rennes_GEN2679","Aversa_VAT12","8"
"Rennes_GEN2679","Vannes_GEN225","8"
"Rennes_GEN2679","Crowland_BL230","8"
"Rennes_GEN2679","Sarum_EDINB13","8"
"Rennes_GEN2679","Countances_BN786D","8"
"Rennes_GEN2679","Lisieux_GEN113","8"
"Rennes_GEN2679","Rouen_ROUEN326","8"
"Rennes_GEN2679","_S.1935-5","8"
"Rennes_GEN2679","Brigittine (Syon)_OXF4","8"
"Rennes_GEN2679","Aberdeen_ABERDSN","8"
"Rennes_GEN2679","Rouen_BN10549","8"
"Rennes_GEN2679","St. Maur Verdun_EPIN235","8"
"Rennes_GEN2679","Arezzo_VAT4772","7"
"Rennes_GEN2679","Hastieres_MUN13067B","7"
"Rennes_GEN2679","Montieramey_TROY721B","7"
"Rennes_GEN2679","St. Vanne_VERD129B","7"
"Rennes_GEN2679","Stavelot_BRU6386","7"
"Rennes_GEN2679","St. Arnulf_METZ573","7"
"Rennes_GEN2679","Durham_BL804S","7"
"Rennes_GEN2679","St. Bees_OXFG1","7"
"Rennes_GEN2679","Coutances_MADR20","7"
"Rennes_GEN2679","Ste Catherine-du-Mont_ROUEN203","7"
"Rennes_GEN2679","Senones_NOGSN","7"
"Rennes_GEN2679","St. Symphorian_METZSSN","7"
"Rennes_GEN2679","Murbach_COLM229B","7"
"Rennes_GEN2679","_MISERSN","7"
"Rennes_GEN2679","Avranches_BN241","7"
"Rennes_GEN2679","Rouen_BN1163","7"
"Rennes_GEN2679","Dol_BN24022","7"
"Rennes_GEN2679","St. Lo-de-Rouen_GEN2634D","7"
"Rennes_GEN2679","Rouen_ROUEN195","7"
"Rennes_GEN2679","Toul_VES13","7"
"Rennes_GEN2679","Toul_ARS617","7"
"Rennes_GEN2679","St. Riquier_ABBV17","7"
"Rennes_GEN2679","_S.1964-1","7"
"Rennes_GEN2679","_S.LYO(2)","8"
"Rennes_GEN2679","Passau_VIE43B","7"
"Rennes_GEN2679","Dominican Vienna_VIE1894","7"
"Strasburg_MCR484","Leopold`s Psalter_KLNB987B","8"
"Strasburg_MCR484","Subiaco_SUB160","8"
"Strasburg_MCR484","Zwiefalten_STUTT105","8"
"Strasburg_MCR484","Metz_METZ336","8"
"Strasburg_MCR484","Lyre_EVREUX121","7"
"Strasburg_MCR484","Marbach_NUE28603","7"
"Leopold`s Psalter_KLNB987B","Subiaco_SUB160","7"
"Leopold`s Psalter_KLNB987B","Zwiefalten_STUTT105","7"
"Leopold`s Psalter_KLNB987B","Metz_METZ336","7"
"Leopold`s Psalter_KLNB987B","St. Abondino_VIT2110","7"
"Subiaco_SUB160","Zwiefalten_STUTT105","9"
"Subiaco_SUB160","Metz_METZ336","8"
"Subiaco_SUB160","Lyre_EVREUX121","7"
"Subiaco_SUB160","Bayeux_BAYEUX74D","7"
"Subiaco_SUB160","Jerusalem_BL1139","7"
"Subiaco_SUB160","Hospitallers_MAZ355","7"
"Subiaco_SUB160","Marguerite's Hours_BL36684","7"
"Subiaco_SUB160","Brigittine_UPS489","7"
"Subiaco_SUB160","Blaubeuren_STUTT118","7"
"Subiaco_SUB160","Bayeux_GEN2712","7"
"Subiaco_SUB160","Zwiefalten_STUTT117","7"
"Subiaco_SUB160","Remiremont_BN1508","7"
"Subiaco_SUB160","Hospitallers_STRASN1","7"
"Subiaco_SUB160","Zwiefalten_STUTT116","7"
"Subiaco_SUB160","Blaubeuren_STUTT222","7"
"Subiaco_SUB160","Chester_BL431","7"
"Subiaco_SUB160","Bodmin_OXF22","7"
"Subiaco_SUB160","St. Brieuc_MALO1600","7"
"Subiaco_SUB160","Klosterneuburg_KLNB1011B","7"
"Subiaco_SUB160","Worms_BN1310B","7"
"Subiaco_SUB160","Speyer_SELS127","7"
"Subiaco_SUB160","_ZUR65","7"
"Subiaco_SUB160","St. Gallen_SGAL389","7"
"Subiaco_SUB160","Romano-Germanic Pontificial_BAMB53","7"
"Subiaco_SUB160","Gondekar's Pontificial_EICHSTSN","7"
"Subiaco_SUB160","Otto of Riedenburg's Pontifici_BN1231B","7"
"Subiaco_SUB160","Prague_PRAG9B","7"
"Subiaco_SUB160","Lausanne_S.1934-1","7"
"Subiaco_SUB160","Limoges_VAT184","7"
"Subiaco_SUB160","Todi_VAT530","7"
"Subiaco_SUB160","St. Martial_MAZ11873","7"
"Subiaco_SUB160","Beaulieu-les-le-Mans_GEN2627D","7"
"Zwiefalten_STUTT105","Metz_METZ336","8"
"Zwiefalten_STUTT105","Lyre_EVREUX121","7"
"Zwiefalten_STUTT105","Bayeux_BAYEUX74D","7"
"Zwiefalten_STUTT105","Jerusalem_BL1139","7"
"Zwiefalten_STUTT105","Hospitallers_MAZ355","7"
"Zwiefalten_STUTT105","Marguerite's Hours_BL36684","7"
"Zwiefalten_STUTT105","Brigittine_UPS489","7"
"Zwiefalten_STUTT105","Blaubeuren_STUTT118","7"
"Zwiefalten_STUTT105","Bayeux_GEN2712","7"
"Zwiefalten_STUTT105","Zwiefalten_STUTT117","7"
"Zwiefalten_STUTT105","Remiremont_BN1508","7"
"Zwiefalten_STUTT105","Hospitallers_STRASN1","7"
"Zwiefalten_STUTT105","Zwiefalten_STUTT116","7"
"Zwiefalten_STUTT105","Blaubeuren_STUTT222","7"
"Zwiefalten_STUTT105","Chester_BL431","7"
"Zwiefalten_STUTT105","Bodmin_OXF22","7"
"Zwiefalten_STUTT105","St. Brieuc_MALO1600","7"
"Zwiefalten_STUTT105","Klosterneuburg_KLNB1011B","7"
"Zwiefalten_STUTT105","Worms_BN1310B","7"
"Zwiefalten_STUTT105","Speyer_SELS127","7"
"Zwiefalten_STUTT105","_ZUR65","7"
"Zwiefalten_STUTT105","St. Gallen_SGAL389","7"
"Zwiefalten_STUTT105","Romano-Germanic Pontificial_BAMB53","7"
"Zwiefalten_STUTT105","Gondekar's Pontificial_EICHSTSN","7"
"Zwiefalten_STUTT105","Otto of Riedenburg's Pontifici_BN1231B","7"
"Zwiefalten_STUTT105","Prague_PRAG9B","7"
"Zwiefalten_STUTT105","Lausanne_S.1934-1","7"
"Zwiefalten_STUTT105","Limoges_VAT184","7"
"Zwiefalten_STUTT105","Todi_VAT530","7"
"Zwiefalten_STUTT105","St. Martial_MAZ11873","7"
"Zwiefalten_STUTT105","Beaulieu-les-le-Mans_GEN2627D","7"
"Metz_METZ336","Lyre_EVREUX121","7"
"Metz_METZ336","Nidaros_CPHN133","7"
"Metz_METZ336","Carmelite_BLU-C","7"
"Metz_METZ336","Hereford_HEREFDSN","7"
"Metz_METZ336","Lincoln_BL38116","7"
"Metz_METZ336","Metz_ARS570","7"
"Metz_METZ336","Sarum_BL305","7"
"Metz_METZ336","Templars_BN10478D","7"
"Metz_METZ336","Reenes_S.1893","7"
"Metz_METZ336","Oxford_VAT4757","7"
"Metz_METZ336","Rennes_ARS616","7"
"Metz_METZ336","Rouen_BN4600","7"
"Metz_METZ336","_HAAG68","7"
"Metz_METZ336","St. Arnulf_METZ333","7"
"Metz_METZ336","Lisieux_CAEN17","7"
"Metz_METZ336","Coutances_S.1953-2","7"
"Metz_METZ336","The Hague_HAAG73B","7"
"Metz_METZ336","Hospitallers_BN1400","7"
"Metz_METZ336","Hours of Marie de Bohun_CPHT547","7"
"Metz_METZ336","Montieramey_BN1063","7"
"Metz_METZ336","Seez_BN1272","7"
"Metz_METZ336","St. Lo-de-Rouen_GEN1265","7"
"Metz_METZ336","St. Jacut-de-la-Mer_BN3081","7"
"Metz_METZ336","St. Sauveur Toul_BN17998","7"
"Metz_METZ336","St. Lo-de-Coutances_GEN2722","7"
"Metz_METZ336","Dol_OXF26","7"
"Metz_METZ336","Aversa_VAT12","7"
"Metz_METZ336","Vannes_GEN225","7"
"Metz_METZ336","Crowland_BL230","7"
"Metz_METZ336","Sarum_EDINB13","7"
"Metz_METZ336","Countances_BN786D","7"
"Metz_METZ336","Lisieux_GEN113","7"
"Metz_METZ336","Rouen_ROUEN326","7"
"Metz_METZ336","_S.1935-5","7"
"Metz_METZ336","Brigittine (Syon)_OXF4","7"
"Metz_METZ336","Aberdeen_ABERDSN","7"
"Metz_METZ336","Rouen_BN10549","7"
"Metz_METZ336","St. Maur Verdun_EPIN235","7"
"Metz_METZ336","_MISERSN","7"
"Metz_METZ336","Avranches_BN241","7"
"Metz_METZ336","Rouen_BN1163","7"
"Metz_METZ336","Dol_BN24022","7"
"Metz_METZ336","St. Lo-de-Rouen_GEN2634D","7"
"Metz_METZ336","Rouen_ROUEN195","7"
"Metz_METZ336","Toul_VES13","7"
"Metz_METZ336","Toul_ARS617","7"
"Metz_METZ336","St. Riquier_ABBV17","7"
"Metz_METZ336","_RIOM21","7"
"Lyre_EVREUX121","Sarum_S.1953-1","7"
"Lyre_EVREUX121","Compostela_SANTSN","7"
"Lyre_EVREUX121","Dol_ARS102","7"
"Lyre_EVREUX121","Orense_ORENSE9","7"
"Lyre_EVREUX121","St. Peter's Cardena_CHANT52","7"
"Lyre_EVREUX121","St. Cyran_COMP1-2","7"
"Lyre_EVREUX121","Siena_SIENA7","7"
"Lyre_EVREUX121","_MONZAB15","8"
"Lyre_EVREUX121","Roman_S.1938-10","8"
"Lyre_EVREUX121","Limoges_BN1396","8"
"Lyre_EVREUX121","St. Ulrich & Afra Augsburg_VAT517","8"
"Lyre_EVREUX121","Poor Clares_LISB166","8"
"Lyre_EVREUX121","Roman_PER28","8"
"Lyre_EVREUX121","Franciscan_CLG107","8"
"Lyre_EVREUX121","_UPS517(1)","8"
"Lyre_EVREUX121","Austin Friars_METZ584","8"
"Lyre_EVREUX121","Rodez_GEN202","8"
"Lyre_EVREUX121","Tournai_CPHG1605","8"
"Lyre_EVREUX121","Lucca_LUCCA609","7"
"Lyre_EVREUX121","Roman_ASS694","7"
"Lyre_EVREUX121","Franciscan_MUNSN","7"
"Lyre_EVREUX121","Antonite_LYO551","7"
"Lyre_EVREUX121","_CL-FD85","7"
"Lyre_EVREUX121","Rodez_BN1306","7"
"Lyre_EVREUX121","Vallumbrosan_VCE145","7"
