"","Work.RecordTitle","n"
"215","Ego ex ore altissimi prodivi | HORAE | Ecclesiasticus 24:5 | Short lesson | h429",1
"216","Ego flos campi | HORAE | Song of songs 2:1 | Short lesson | h430",28
"217","Ego mater pulcre dilectionnis et timoris et magnitudinis et sancte spei | HORAE | Ecclesiasticus 24:24 | Short lesson | h431",35
"218","Ego quasi terebinthus | HORAE | Ecclesiasticus 24:22 | Lesson | h1302",1
"219","Ego quasi terebinthus | HORAE | Ecclesiasticus 24:22 | Short lesson | h432",1
"220","Ego quasi vitis | HORAE | Ecclesiasticus 24:23 | Short lesson | h433",88
"221","Ego sapientia effudi flumina | HORAE | Ecclesiasticus 24:40 | Short lesson | h434",6
"222","Ego sum genus et radix | HORAE | Revelation 22:16 | Short lesson | h435",1
"223","Egredietur virga radice iesse et flos de radice eius ascendet. Et requiescet super eum spiritus Domi | HORAE | Isaiah 11:1-2 | Short lesson | h438",5
"224","Elegit eam deus et praeelegit | Cantus ID 006760zd | | Verse | h441",1
"225","Elegit eam deus et praeelegit eam | Cantus ID 008046 | | Versicle | h442",32
"226","Elegit eam deus et praeelegit eam alleluia alleluia | Cantus ID 600764 | | Respond | h443",23
"227","Emenda mores | HORAE | | Lesson | h444",4
"228","Emissiones tuae paradisus malorum punicorum cum pomorum fructibus | Cantus ID 002641 | Song of songs 4:13 | Antiphon | h445",6
"229","Emulor enim vos dei | HORAE | 2 Corinthians 11:2 | Short lesson | h447",2
"230","Enixa est puerpera quem Gabriel praedixerat quem matris alvo gestiens clausus Joannes senserat | Cantus ID 8248d | AH 67 | Hymn | h449",4
"231","Enixa est puerpera quem Gabriel praedixerat quem matris alvo gestiens clausus Joannes senserat | Cantus ID 8248d | AH 67 | Hymn | h449|Maria, plena gratiae, Mater misericordiae, Tu nos ab hoste protege Et hora mortis suscipe. Rogamus t | AH 16464 | | Hymn | h742",1
"232","Ergo quando nata es in die ortus tui non est praecisus umbilicus tuus, et aqua non es lota in salute | HORAE | Ezekiel 16:4 | Lesson | h451",2
"233","Eructavit cor meum verbum bonum :dico ego opera mea regi.Lingua mea calamus scribaevelociter scriben | HORAE | Psalm 44 | Psalm | h452",16
"234","Estus quippe Christus | HORAE | | Lesson | h458",1
"235","Et benedictus fructus ventris tui | Cantus ID 007971 | Luke 1:42 | Response | h461",4
"236","Et benedictus fructus ventris tui | Cantus ID a01429a | Luke 1:42 | Verse | h462",6
"237","Et dixit michi in iacob inhabita, et in Israel haereditare, et in electis meis mitte radices | HORAE | Ecclesiasticus 24:13 | Short lesson | h470",1
"238","Et dixit mihi Dominus | HORAE | | Short lesson | h471",1
"239","Et habitare eam facit | Cantus ID 008046 | Psalm 112:9 | Response | h475",5
"240","Et habitare eam facit in tabernaculo suo | Cantus ID 600764b | Psalm 112:9 | Verse | h476",16
"241","Et impetratam nobis | HORAE | | Response | h1329",3
"242","Et impetratam nobis caelitus tu defer indulgentiam | Cantus ID 007579a | | Verse | h477",9
"243","Et in laude | HORAE | | Verse | h480",1
"244","Et in tabernaculo suo habitare eam fecit | Cantus ID 600764c | | Verse | h481",5
"245","Et omni | HORAE | | Verse | h483",1
"246","Et sic in Sion firmata sum et in civitate sanctificata similiter requievi et in Ierusalem potestas m | HORAE | Ecclesiasticus 24, 15-16 | Lesson | h1299",27
"247","Et sic in Sion firmata sum et in civitate sanctificata similiter requievi et in Ierusalem potestas m | HORAE | Ecclesiasticus 24:15-16 | Short lesson | h488",93
"248","Et unde hoc mihi, ut veniat mater Domini mei ad me | HORAE | Luke 1:43 | Lesson | h490",1
"249","Et veniat super me misericordia tua, Domine ; salutare tuum secundum eloquium tuum | HORAE | Psalm 118, 41 | Psalm | h491",3
"250","Et virtus altissimi | Cantus ID a00414 | | Response | h1330",1
"251","Eterni regis genitrix | HORAE | | Hymn | h493",1
"252","Ex carne Eve dicuntur filii hominum ; ex beatae Mariae filio renati non dicuntur filii hominum, sed | HORAE | Hildefonsus Toletanus incertus, Sermo IX (PL 96, 280 b) | Lesson | h498",2
"253","Ex duabus siquidem naturis sine confusione alterius, nonnisi unus invenitur Jesus Dominus manens Deu | HORAE | Hieronymis Stridonensis incertus, Epistolae (PL 30, 131 c) | Lesson | h499",1
"254","Ex te Maria virgo processit deus et homo lapis abscissus est de te Christus virgine sanctus quem pro | Cantus ID 002752 | | Antiphon | h501",1
"255","Exaltata es sancta dei genetrix | Cantus ID 008063 | | Versicle | h1312",7
"256","Exaltata es sancta dei genetrix | Cantus ID 600817 | | Respond | h12343",1
"257","Exaltata es sancta dei genetrix super choros angelorum ad caelestia regna | Cantus ID 002762 | | Antiphon | h503",8
"258","Exaltata es sancta dei genitrix | HORAE | | Short lesson | h505",1
"259","Exaltata est gloriosa semper virgo Maria super choros angelorum venite omnes magnificemus Christum r | Cantus ID 002763 | | Antiphon | h506",1
"260","Exaltata est sancta dei | Cantus ID 006131za | | Verse | h1307",1
"261","Exaltata est virgo Maria super choros angelorum gaudeant omnes fideles et benedicant dominum | Cantus ID 006684 | | Respond | h507",3
"262","Exaltate regem regum et hymnum dicite deo alleluia | Cantus ID 002764 | | Antiphon | h508",1
"263","Exultet et letatur | HORAE | | Lesson | h519",2
"264","Exurge Domine | HORAE | | Verse | h520",1
"265","Exurge domine adiuva nos | BU VersResp 99 | | Versicle | h1875",1
"266","Exurgens Maria | HORAE | | Lesson | h522",1
"267","Fac nos quaesumus domine deus beatae Mariae | HORAE | | Oration | h1346",2
"268","Famulorum tuorum, domine, delictis ignosce, ut, qui placere de actibus nostris non valemus, genitric | Corpus Orationum 2649 | | Oration | h523",30
"269","Famulorum tuorum, domine, delictis ignosce, ut, qui placere de actibus nostris non valemus, genitric | Corpus Orationum 2649 | | Oration | h523|Mentibus nostris, domine, spiritum sanctum benignus infunde, cuius et sapientia conditi sumus et pro | Corpus Orationum 3340 | | Oration | h756",1
"270","Favus distillans | HORAE | Song of songs 4:11 | Short lesson | h524",2
"271","Favus distillans labia tua sponsa et odor vestimentorum tuorum sicut odor thuris | Cantus ID 002855 | Song of songs 4:11 | Antiphon | h525",16
"272","Feci judicium et justitiam : non tradas me calumniantibus me | HORAE | Psalm 118, 121 | Psalm | h526",3
"273","Felix namque | HORAE | | Versicle | h1313",1
"274","Felix namque es sacra virgo et omni laude dignissima quia ex te ortus est sol justitiae Christus deu | Cantus ID 002861 | | Antiphon | h528",1
"275","Felix namque es sacra virgo Maria et omni laude dignissima quia ex te ortus est sol justitiae Christ | Cantus ID 006725 | Malachi 4:2 | Respond | h529",133
"276","Felix namque es sacra virgo Maria et omni laude dignissima, quia ex te ortus est sol iusticie, Chris | HORAE | Cantus ID 002861 | Short lesson | h530",49
"277","Felix valde es | HORAE | Cantus ID 600873 | Short lesson | h531",2
"278","Felix valde es sacra virgo | Cantus ID 600873 | | Respond | h532",8
"279","Fiat mihi secundum verbum tuum | HORAE | Luke 1:38 | Response | h533",7
"280","Fili Mariae virginis, da nobis eius meritis a peccato resurgere et ad vitam pertingere. Cuius es fac | AH 9629 | | Hymn | h536",2
"281","Fit porta Christi pervia omni referta gratia transitque rex et permanet clausa ut fuit per saecula | Cantus ID 8305c | | Hymn | h541",21
"282","Flos mundi | HORAE | | Lesson | h542",2
"283","Fons hortorum puteus aquarum viventium quae fluunt impetu de Libano | Cantus ID 002887 | Song of songs 4:15 | Antiphon | h543",9
"284","Fratres obsecro vos | HORAE | | Short lesson | h544",1
"285","Fratres omnis qui invocaverit nomen Domini, salvus erit | HORAE | Romans 10:13 | Short lesson | h545",1
"286","Fulgebunt justi sicut sol in regno patris eorum alleluia | Cantus ID 002908 | | Antiphon | h547",1
"287","Fundamenta ejus in montibus sanctis ; diligit Dominus portas Sion super omnia tabernacula Jacob. Glo | HORAE | Psalm 86 | Psalm | h548",43
"288","Gabriel, Dei archangelus, nostrae salutis nuntius, intonuit, sic Mariam salutans sacratissimam : Ave | AH 10055 | | Hymn | h549",1
"289","Gabrielem archangelum credimus divinitus te esse affatum uterum tuum de spiritu sancto credimus impr | Cantus ID 006759a | | Verse | h550",2
"290","Gabrielem archangelum scimus divinitus | Cantus ID 006759a | | Verse | h1298",2
"291","Gaude dei genetrix virgo immaculata gaude quae gaudio ab angelo suscepisti gaude quae genuisti aeter | Cantus ID 002920 | | Antiphon | h552",8
"292","Gaude maria virgo : cunctas hereses sola interemisti in uniuerso mundo | HORAE | Cantus ID 002924 | Short lesson | h554",55
"293","Gaude Maria virgo | HORAE | | Verse | h553",1
"294","Gaude Maria virgo cunctas haereses sola interemisti in universo mundo | Cantus ID 002924 | | Antiphon | h555",17
"295","Gaude Maria virgo cunctas haereses sola interemisti quae Gabrielis archangeli dictis credidisti dum | Cantus ID 006759 | | Respond | h556",6
"296","Gaudeat omnis homo quoniam peperit pia virgo | Cantus ID a00365a | | Verse | h12347",1
"297","Gaudens gaudebo in domino | HORAE | Isaiah 61:10 | Short lesson | h561",1
"298","Gemma virginum lux saeculorum | Cantus ID 600946 | | Respond | h562",1
"299","Generaliter ergo cunctos | HORAE | | Lesson | h563",1
"300","Germinavit radix Iesse | HORAE | Numbers 24:17 | Short lesson | h566",1
"301","Germinavit radix Jesse orta est stella ex Jacob virgo peperit salvatorem te laudamus deus noster | Cantus ID 002941 | Numbers 24:17 | Antiphon | h567",48
"302","Gloria tibi Domine | Cantus ID 830356h | | Hymn | h570",5
"303","Glorificamus te dei genetrix quia ex te natus est Christus salva omnes qui te glorificant | Cantus ID 002952 | | Antiphon | h573",14
"304","Gratiam tuam, domine, mentibus nostris infunde, ut, qui, angelo nuntiante, Christi filii tui incarna | Corpus Orationum 2748 | | Oration | h575",27
"305","Gratiam tuam, domine, mentibus nostris infunde, ut, qui, angelo nuntiante, Christi filii tui incarna | Corpus Orationum 2748 | | Oration | h575|Ure igne sancti spiritus renes nostros et cor nostrum, domine, ut tibi caste et corde serviamus et c | Corpus Orationum 6025 | | Oration | h1228",1
"306","Haec est quae nescivit torum in delicto habebit fructum in respectione animarum sanctarum | Cantus ID 003001 | Wisdom of Solomon 3:13 | Antiphon | h577",21
"307","Haec est regina virginum | HORAE | | Respond | h1325",2
"308","Haec est regina virginum quae genuit regem velut rosa decora virgo dei genetrix per quam reperimus d | Cantus ID 003002 | | Antiphon | h578",14
"309","Haec est virgo sancta atque gloriosa quia dominus omnium dilexit eam | HORAE | Cantus ID 003015 | Short lesson | h584",37
"310","Haec forma prae filiis hominum castis concepit visceribus et benedicta in aeternum deum nobis protul | Cantus ID 006684a | | Verse | h1308",1
"311","Hec est que nescivit thorum in delicto, habebit fructum in respectione animarum sanctarum | HORAE | Wisdom of Solomon 3:13 | Short lesson | h582",2
"312","Hec est speciosior sole | HORAE | Wisdom of Solomon 7:29 | Short lesson | h583",2
"313","Hec est virgo virginum | HORAE | | Short lesson | h585",3
"314","Hec peperit non dolore sed gaudio | HORAE | Maximus Taurinensis incertus, Sermo XII (PL 57, 867 c) | Lesson | h587",1
"315","Hortus conclusus | HORAE | Song of songs 4:12 | Short lesson | h597",1
"316","Hortus conclusus es dei genetrix hortus conclusus fons signatus surge propera amica mea | Cantus ID 003137 | | Antiphon | h600",23
"317","Hortus conclusus es dei genetrix hortus conclusus fons signatus surge propera amica mea | Cantus ID 003137 | | Antiphon | h600|Descendi in hortum nucum ut viderem poma convallium et inspicerem si floruissent vineae et germinass | Cantus ID 002155 | Song of songs 6:10-12 | Antiphon | h276",1
"318","Hortus conclusus es Dei genitrix hortus conclusus fons signatus emissiones tuae paradisus fons ortor | HORAE | So 4:12 | Antiphon | h12342",1
"319","Hortus conclusus es soror mea hortus conclusus es fons signatus | Cantus ID 003138.1 | | Antiphon | h1348",2
"320","Hortus conclusus et fons signatus hiems transiit imber abiit et recessit jam veni sponsa de Libano v | Cantus ID 601080 | | Respond | h601",1
"321","Iam hiems transiit: imber abiit, et recessit: surge amica mea, et veni. | Cantus ID 003470 | Song of songs 2:11 | Antiphon | h602",2
"322","Ibo mihi ad montem myrrhae et ad collem Libani et loquar sponsae meae tota speciosa es proxima mea e | Cantus ID 003160 | Song of songs 4:6-8 | Antiphon | h603",1
"323","Illo nos igne, quaesumus, domine, spiritus sanctus inflammet, quem dominus noster Iesus Christus mis | Corpus Orationum 3061 | | Oration | h1336",1
"324","Imploramus, domine, clementiam tuam, ut haec divina ieiuniorum subsidia, a vitiis expiatos, ad festa | Corpus Orationum 3076 | | Oration | h610",1
"325","In æternum, Domine, verbum tuum permanet in cælo | HORAE | Psalm 118, 89 | Psalm | h611",3
"326","In convertendo Dominus captivitatem Sion,facti sumus sicut consolati. Tunc repletum est gaudio os no | HORAE | Psalm 125 | Psalm | h614",207
"327","In deliciis tuis sancta dei genetrix | Cantus ID 008202 | | Response | h1327",3
"328","In deliciis tuis sancta dei genetrix | Cantus ID 602225a | Song of songs 7:7 | Verse | h615",16
"329","In honore beatissimae Mariae virginis jubilemus domino | Cantus ID 001086 | | Invitatory | h617",13
"330","In Iacob inhabita | HORAE | Ecclesiasticus 24:13 | Short lesson | h620",4
"331","In manus dilectissimi | HORAE | | Respond | h12358",1
"332","In Maria | HORAE | | Lesson | h623",1
"333","In me gratia omnis viae et veritatis: in me omnis spes vitae et virtutis | HORAE | Ecclesiasticus 24:25 | Short lesson | h625",3
"334","In odore unguentorum tuorum currimus adolescentulae dilexerunt te nimis | Cantus ID 003261 | Song of songs 1:2 | Antiphon | h628",55
"335","In omni tribulatione eorum non est tribulatus et angelus faciei ejus salvavit eos | Cantus ID a00431 | | Respond | h630",1
"336","In omnibus requiem quaesivi: cuius in hereditate morabor? | HORAE | Ecclesiasticus 24:11-13 | Lesson | h637",27
"337","In omnibus requiem quesiui et in hereditate Domini morabor. Tunc precepit et dixit michi creator omn | HORAE | Ecclesiasticus 24:11-12 | Short lesson | h638",111
"338","In plateis sicut cinnamomum, et balsamum aromatizans odorem dedi: quasi myrrha electa dedi suavitate | HORAE | Ecclesiasticus 24:19-20 | Short lesson | h639",7
"339","In prole mater in partu virgo gaude et laetare virgo mater domini | Cantus ID 003274 | | Antiphon | h641",36
"340","In quo corrigit adolescentior viam suam ? in custodiendo sermones tuos | HORAE | Psalm 118, 9 | Psalm | h642",12
"341","In sue gracia | HORAE | | Lesson | h643",1
"342","In Syon firmata sum | HORAE | Ecclesiasticus 24:15 | Short lesson | h644",5
"343","In tabernaculis iustorum | HORAE | Psalm 117:15 | Response | h645",2
"344","In tabernaculo suo habitare | Cantus ID 008046.1 | | Response | h1326",2
"345","In te, Domine, speravi ;non confundar in aeternum :in justitia tua libera me. Inclina ad me aurem tu | HORAE | Psalm 30 | Psalm | h647",46
"346","Infirmitatem et fragilitatem | HORAE | | Oration | h655",1
"347","Iniquos odio habui, et legem tuam dilexi | HORAE | Psalm 118, 113 | Psalm | h656",9
"348","Innupta Dei genitrix | RH 38248 | | Lesson | h657",1
"349","Intemerata virgo quae redemptorem Israel peperisti et post partum virgo permansisti dei genetrix int | Cantus ID 003360 | | Antiphon | h659",1
"350","Intende prospere procede | Cantus ID 007679a | Psalm 44:5 | Verse | h660",14
"351","Intende prospere procede et regna | Cantus ID 008201 | Psalm 44:5 | Response | h661",1
"352","Intercede pro nobis ad dominum | Cantus ID a00332 | | Response | h1332",7
"353","Intercede pro nobis ad dominum deum nostrum | Cantus ID 007568a | | Verse | h664",38
"354","Ipsius intercessio perpetue felicitatis | HORAE | | Short lesson | h674",1
"355","Ipsum genuisti et in praesepe posuisti quem adorant multitudo angelorum genuisti | Cantus ID 006163c | | Verse | h675",3
"356","Ista est speciosa inter filias Jerusalem viderunt eam filiae Sion et beatissimam praedicaverunt et r | Cantus ID 202662 | Song of songs 2:13 | Antiphon | h677",1
"357","Jam lucis orto sidere deum precemur supplices ut in diurnis actibus nos servet a nocentibus | Cantus ID 8328 | | Hymn | h681",1
"358","Jesu Christe fili dei vivi miserere nobis alleluia alleluia | Cantus ID 601272 | | Respond | h684",13
"359","Jesu salvator saeculi redemptis ope subveni et pia Dei genetrix salutem posce miseris | Cantus ID 8333 | | Hymn | h685",6
"360","Jubilate Deo, omnis terra ;servite Domino in laetitia.Introite in conspectu ejus in exsultatione. Sc | HORAE | Psalm 99 | Psalm | h688",134
"361","Judica me, Deus, et discerne causam meam de gente non sancta :ab homine iniquo et doloso erue me. Qu | HORAE | Psalm 42 | Psalm | h690",92
"362","Justus es, Domine, et rectum judicium tuum | HORAE | Psalm 118, 137 | Psalm | h691",2
"363","Laetatus sum in his quae dicta sunt mihi :In domum Domini ibimus. Stantes erant pedes nostriin atrii | HORAE | Psalm 121 | Psalm | h696",348
"364","Laetetur ecclesia tua, deus, omnium sanctorum tuorum confisa suffragiis, atque eorum precibus glorio | HORAE | | Oration | h14807",1
"365","Lauda filia Syon | HORAE | Zephaniah 3:14 | Short lesson | h698",3
"366","Lauda, anima mea, Dominum.Laudabo Dominum in vita mea ;psallam Deo meo quamdiu fuero.Nolite confider | HORAE | Psalm 145 | Psalm | h699",1
"367","Lauda, Jerusalem, Dominum ;lauda Deum tuum, Sion. Quoniam confortavit seras portarum tuarum ;benedix | HORAE | Psalm 147 | Psalm | h700",128
"368","Laudate Dominum de caelis ;laudate eum in excelsis. Laudate eum, omnes angeli ejus ;laudate eum, omn | HORAE | Psalm 148 | Psalm | h701",137
"369","Laudate Dominum in sanctis ejus ;laudate eum in firmamento virtutis ejus. Laudate eum in virtutibus | HORAE | Psalm 150 | Psalm | h702",73
"370","Laudate Dominum, omnes gentes ;laudate eum, omnes populi. Quoniam confirmata est super nos misericor | HORAE | Psalm 116 | Psalm | h703",108
"371","Laudate, pueri, Dominum ;laudate nomen Domini. Sit nomen Domini benedictumex hoc nunc et usque in sa | HORAE | Psalm 112 | Psalm | h704",135
"372","Laudemus omnes dominum qui Mariam replevit gratia ut mediatrix hominum apud Deum esset propitia | Cantus ID a00755 | | Antiphon | h705",1
"373","Legem pone mihi, Domine, viam justificationum tuarum, et exquiram eam semper | HORAE | Psalm 118, 33 | Psalm | h706",12
"374","Letare que meruisti Christum portare | HORAE | Cantus ID 003708 | Short lesson | h707",1
"375","Leva eius sub capite meo, a dextera illius amplexabitur me | Cantus ID 202923 | Song of songs 2:6 | Antiphon | h708",2
"376","Levavi oculos meos in montes,unde veniet auxilium mihi. Auxilium meum a Domino,qui fecit caelum et t | HORAE | Psalm 120 | Psalm | h709",176
"377","Loquamur aliquid in laudibus sacratissimae Virginis | HORAE | Auctor incertus, ""Sermo Autberti presbyteri de Assumptione sanctae Mariae"" (PL 89, 1276 d) | Lesson | h713",1
"378","Lucerna pedibus meis verbum tuum, et lumen semitis meis | HORAE | Psalm 118, 105 | Psalm | h714",3
"379","Lux mundi beatissima | Cantus ID 830401 | | Hymn | h717",1
"380","Magnum hereditatis mysterium templum dei factus est uterus nesciens virum non est pollutus ex ea car | Cantus ID 003677 | | Antiphon | h719",1
"381","Magnum meritum, magnum donum, magna gratia. Ancilla peperit Dominum, creatura peperit creatorem, fil | HORAE | Hildefonsus Toletanus incertus, Sermo XII (PL 96, 283 a) | Short lesson | h720",1
"382","Magnus Dominus et laudabilis nimis,in civitate Dei nostri, in monte sancto ejus. Fundatur exsultatio | HORAE | Psalm 47 | Psalm | h721",11
"383","Maiestati tuae nos, quaesumus, domine, beatae Mariae semper virginis et omnium ordinum angelorum sim | Corpus Orationum 3297c | | Oration | h1335",2
"384","Maiestati tuae, domine, nos beata omnium sanctorum supplicatio conciliet, ut, qui cottidie offendimu | Corpus Orationum 3297b | | Oration | h8860",1
"385","Manus tuæ fecerunt me, et plasmaverunt me : da mihi intellectum, et discam mandata tua | HORAE | Psalm 118, 73 | Psalm | h725",3
"386","Maria Dei sanctissima | HORAE | | Hymn | h726",1
"387","Maria Dei sanctissima | HORAE | | Hymn | h726|Memento salutis auctor. Quod nostri quondam corporis, Ex illibata vir gine Nascendo, formam sumpseri | Cantus ID 8248z | AH 5047 | Hymn | h750",2
"388","Maria lucis baiula | HORAE | | Hymn | h728",1
"389","Maria mater domini aeterni patris filii fer opem nobis omnibus ad te confugientibus ; Deum de deo ge | Cantus ID 830213 | | Hymn | h729",2
"390","Maria ventre concipit verbi fidelis semine quem totus orbis non capit portant puellae viscera | Cantus ID 8257b | | Hymn | h734",1
"391","Maria virgo assumpta est ad aethereum thalamum in quo rex regum stellato sedet solio | Cantus ID 003707 | | Antiphon | h735",33
"392","Maria virgo inclita | HORAE | Cantus ID 003708 | Lesson | h736",1
"393","Maria virgo regia ex stirpe | Cantus ID 830415 | | Hymn | h737",1
"394","Maria virgo semper laetare quae meruisti Christum portare caeli et terrae conditorem quia de tuo ute | Cantus ID 003708 | | Antiphon | h738",16
"395","Maria virgo semper laetare quae meruisti Christum portare caeli et terrae conditorem quia de tuo ute | Cantus ID 003708 | | Antiphon | h738|Hortus conclusus es dei genetrix hortus conclusus es et fons signatus surge amica mea quam pulchra e | Cantus ID 003136 | | Antiphon | h599|Dilecte mi apprehendam te et ducam te in domum matris meae et in cubiculum genetricis meae ibi me do | Cantus ID 002224 | Song of songs 8:2 - 3:4 | Antiphon | h349",1
"396","Maria virgo semper letare | HORAE | Cantus ID 003708 | Short lesson | h739",27
"397","Maria virgo semper letare | HORAE | Cantus ID 003708 | Short lesson | h739|In omnibus requiem quesiui et in hereditate Domini morabor. Tunc precepit et dixit michi creator omn | HORAE | Ecclesiasticus 24:11-12 | Short lesson | h638",1
"398","Maria, caeli regina, sanctitate gloriosa, audi preces famulorum et deprecare Dominum. Qui totum mund | AH 16430 | | Hymn | h740",1
"399","Maria, mater gratiae, Mater misericordiae, Relevamen miseriae Gloriosam. Nomen tuum dulce nimis, Mem | AH 16455 | | Hymn | h741",5
"400","Maria, plena gratiae, Mater misericordiae, Tu nos ab hoste protege Et hora mortis suscipe. Rogamus t | AH 16464 | | Hymn | h742",8
"401","Maria, plena gratiae, Mater misericordiae, Tu nos ab hoste protege Et hora mortis suscipe. Rogamus t | AH 16464 | | Hymn | h742|Memento salutis auctor. Quod nostri quondam corporis, Ex illibata vir gine Nascendo, formam sumpseri | Cantus ID 8248z | AH 5047 | Hymn | h750",2
"402","Maria, virgo virginum, quae genuisti Dominum sine virili semine, verum lumen de lumine. Tu sola vita | AH 16500 | | Hymn | h743",1
"403","Mater Dei sanctissima atque virgo perpetua, offer nos tuo folio, in coelesti palatio | AH 16759 | | Hymn | h1294",13
"404","Mater Dei sanctissima atque virgo perpetua, offer nos tuo folio, in coelesti palatio | AH 16759 | | Hymn | h1294|Fili Mariae virginis, da nobis eius meritis a peccato resurgere et ad vitam pertingere. Cuius es fac | AH 9629 | | Hymn | h536",1
"405","Mater humani generis humana natura, quae ante peccatum erat incorruptibilis, impassibilis, immortali | HORAE | Honorius Augustodunensis, Expositio in Cantica canticorum (PL 172, 478 d) | Lesson | h745",1
"406","Mater patris et filia | Cantus ID 205362 | | Antiphon | h746",1
"407","Matrem quidem Domini quae ad se venerat, mox ut vidit, esse cognovit : sed nihil in se talis meriti | HORAE | Beda, Homiliae (PL 94, 17 a) | Lesson | h747",1
"408","Memento salutis auctor. Quod nostri quondam corporis, Ex illibata vir gine Nascendo, formam sumpseri | Cantus ID 8248z | AH 5047 | Hymn | h750",205
"409","Memento salutis auctor. Quod nostri quondam corporis, Ex illibata vir gine Nascendo, formam sumpseri | Cantus ID 8248z | AH 5047 | Hymn | h750|Maria, plena gratiae, Mater misericordiae, Tu nos ab hoste protege Et hora mortis suscipe. Rogamus t | AH 16464 | | Hymn | h742",2
"410","Memento salutis auctor. Quod nostri quondam corporis, Ex illibata vir gine Nascendo, formam sumpseri | Cantus ID 8248z | AH 5047 | Hymn | h750|Maria, plena gratiae, Mater misericordiae, Tu nos ab hoste protege Et hora mortis suscipe. Rogamus t | AH 16464 | | Hymn | h742|Gloria tibi Domine | Cantus ID 830356h | | Hymn | h570",1
"411","Memento salutis auctor. Quod nostri quondam corporis, Ex illibata vir gine Nascendo, formam sumpseri | Cantus ID 8248z | AH 5047 | Hymn | h750|Veni creator Spiritus, Mentes tuorum visita, Imple superna gratia, Quae tu creasti pectora. Qui para | AH 27066 | | Hymn | h1247",2
"412","Memento, Domine, David,et omnis mansuetudinis ejus : sicut juravit Domino ;votum vovit Deo Jacob : S | HORAE | Psalm 131 | Psalm | h751",62
"413","Memor esto verbi tui servo tuo, in quo mihi spem dedisti | HORAE | Psalm 118, 49 | Psalm | h752",9
"414","Memoria mea in generatione | HORAE | Ecclesiasticus 24:28 | Lesson | h753",1
"415","Mentes nostras, quaesumus, domine, paraclitus, qui a te procedit, illuminet et inducat in omnem, sic | Corpus Orationum 3333b | | Oration | h755",6
"416","Mentibus nostris, domine, spiritum sanctum benignus infunde, cuius et sapientia conditi sumus et pro | Corpus Orationum 3340 | | Oration | h756",5
"417","Mirabilia testimonia tua : ideo scrutata est ea anima mea | HORAE | Psalm 118, 129 | Psalm | h760",13
"418","Miserere mei domine et exaudi orationem meam | Cantus ID 203129 | | Antiphon | h762",1
"419","Misit Deus filium suum factum ex muliere, factum sub lege, ut eos, qui sub lege erant, redimeret, ut | HORAE | Galatians 4:4 | Short lesson | h764",1
"420","Missus est angelus gabriel a deo in civitatem | HORAE | Luke 1:26-28 | Lesson | h765",1
"421","Missus est angelus Gabriel a deo in civitatem Nazareth ad virginem Mariam desponsatam Joseph et dixi | Cantus ID 003792 | Luke 1:26-28 | Antiphon | h768",1
"422","Missus est Gabriel angelus ad Mariam virginem desponsatam Joseph | Cantus ID 003794 | Luke 1:26 | Antiphon | h769",5
"423","Missus est Gabriel angelus ad Mariam virginem desponsatam Joseph nuntians ei verbum et expavescit vi | Cantus ID 007170 | Luke 1:26-28 | Respond | h770",1
"424","Multe filie congregaverunt | HORAE | Proverbs 32:29 | Short lesson | h774",13
"425","Nam te orante | HORAE | | Lesson | h775",1
"426","Nate summe rex utero mariae de virgineo, emunda nos a vitio, et orna sanctis meritis, Dei mater, o d | AH 17395 | | Hymn | h776",2
"427","Nato tuo nos clementer concilia | Cantus ID 600181a | | Verse | h12346",1
"428","Ne timeas Maria invenisti gratiam apud dominum ecce concipies et paries filium alleluia | Cantus ID 003863 | Luke 1:30-31 | Antiphon | h780",2
"429","Nigra sum sed formosa filia Jerusalem ideo dilexit me rex et introduxit me in cubiculum suum | Cantus ID 003878 | Song of songs 1:4 | Antiphon | h785",4
"430","Nihil horum obliviscaris | HORAE | | Lesson | h787",1
"431","Nisi Dominus aedificaverit domum,in vanum laboraverunt qui aedificant eam.Nisi Dominus custodierit c | HORAE | Psalm 126 | Psalm | h789",311
"432","Nisi quia Dominus erat in nobis,dicat nunc Israël, nisi quia Dominus erat in nobis :cum exsurgerent | HORAE | Psalm 123 | Psalm | h790",203
"433","O admirabile | HORAE | | Hymn | h796",1
"434","O admirabile commercium creator generis humani animatum corpus sumens de virgine nasci dignatus est | Cantus ID 003985 | | Antiphon | h797",96
"435","O beata dei genitrix et virgo semper maria | HORAE | | Antiphon | h798",1
"436","O beata Maria Dei genitrix virgo | HORAE | | Antiphon | h799",1
"437","O beata Maria, quis tibi digne ualeat iura gratiarum et laudum preconia impendere, que singulari tuo | HORAE | Fulberti Carnotensis episcopi, Sermo IX (PL 141, 338 c d) | Lesson | h800",73
"438","O beatissima virgo Maria | HORAE | | Lesson | h802",1
"439","O Christe, proles virginis, patris compar altissimi, per tuae matris merita dele nostra peccamina. O | AH 18187 | | Hymn | h804",2
"440","O felicia oscula lactantis labris impressa | HORAE | Hildefonsus Toletanus incertus, Sermo IX (PL 96, 272 a) | Lesson | h808",1
"441","O felix Maria et omni laude dignissima | HORAE | Hildefonsus Toletanus incertus, Sermo IX (PL 96, 271 d) | Lesson | h810",2
"442","O felix mundi | HORAE | | Hymn | h811",1
"443","O fili caste virginis | HORAE | | Lesson | h812",1
"444","O florens rosa | HORAE | | Antiphon | h813",1
