"","Work.RecordTitle","n"
"51","Ave Maria gratia plena dominus tecum benedicta tu in mulieribus alleluia | Cantus ID 001539 | Luke 1:28 | Antiphon | h108",21
"52","Ave Maria gratia plena dominus tecum spiritus sanctus superveniet in te et virtus altissimi obumbrab | Cantus ID 006157 | Luke 1:28 | Respond | h109",1
"53","Ave Maria gratia plena, Dominus tecum. Genuisti qui te fecit, et in aeternum permanes virgo. | Cantus ID 006163a | Luke 1:28 | Verse | h110",4
"54","Ave maris stella dei mater alma atque semper virgo felix caeli porta ; Sumens illud ave Gabrielis or | Cantus ID 8272.1 | Venantius Fortunatus, Miscellanea (PL 88, 265 d - 266 b) | Hymn | h112",215
"55","Ave maris stella, Dei mater alma, atque semper virgo, felix coeli porta. Sumens illud ave Gabrielis | HORAE | Venantius Fortunatus, Miscellanea (PL 88, 265 d - 266 b) | Short lesson | h113",1
"56","Ave mirabilis stella maris cujus infans in lacte matris minoratus ab angelis te humilem ancillam fac | Cantus ID 200459 | | Antiphon | h115",1
"57","Ave mundi mediatrix | HORAE | | Antiphon | h116",1
"58","Ave o theotokos virgo Maria quae trina mundi regentem machinam filium protulisti hinc rite exaltata | Cantus ID 001540 | | Antiphon | h117",1
"59","Ave regina caelorum ave domina angelorum salve radix sancta ex qua mundo lux est orta virgo gloriosa | Cantus ID 001542 | | Antiphon | h118",9
"60","Ave spes nostra Dei genitrix | HORAE | Cantus ID 001546 | Lesson | h121",1
"61","Ave sponsa celestis | HORAE | | Antiphon | h122",1
"62","Beata dei genetrix Maria cujus viscera intacta permanent hodie genuit salvatorem saeculi | Cantus ID 006162 | | Respond | h130",1
"63","Beata Dei genitrix Maria, virgo perpetua, templum Domini, sacrarium spiritus sancti: sola sine exemp | Cantus ID 001563 | | Antiphon | h131",33
"64","Beata dei genitrix nitor ; Maria decus hominum regis ; Maria templum domini dei ; | Cantus ID a02170 | | Hymn | h132",4
"65","Beata Dei genitrix, nitor humani generis, per quam de servis liberi lucisque sumus filii. Fac tuum n | AH 3958 | | Hymn | h133",1
"66","Beata es Maria quae credidisti perficientur in te quae dicta sunt tibi a domino alleluia | Cantus ID 001565 | | Antiphon | h134",3
"67","Beata es Maria quae dominum portasti creatorem saeculorum genuisti qui te fecit et in aeternum perma | Cantus ID 006163 | Luke 1:28 | Respond | h136",74
"68","Beata es Maria quae dominum portasti creatorem saeculorum genuisti qui te fecit et in aeternum perma | HORAE | Cantus ID 006163 | Short lesson | h135",150
"69","Beata es mater | HORAE | | Short lesson | h137",1
"70","Beata es virgo Maria dei genetrix quae credidisti domino perfecta sunt in te quae dicta sunt tibi a | Cantus ID 001566 | | Antiphon | h138",1
"71","Beata es virgo Maria dei genetrix quae credidisti domino perfecta sunt in te quae dicta sunt tibi ec | Cantus ID 006165 | | Respond | h139",81
"72","Beata es virgo Maria Dei genitrix quae credidisti Dominum | HORAE | Gregorius I, Liber responsalis (PL 78, 798 c) | Lesson | h140",1
"73","Beata es virgo Maria quae dominum portasti creatorem mundi genuisti qui te fecit et in aeternum perm | HORAE | | Verse | h12345",1
"74","Beata es, Maria, Virgo dulcis et pia, Candore vincens lilia, Es rosa sine spina, Sanctorum melodia. | AH 3962 | | Hymn | h141",1
"75","Beata mater et innupta Virgo gloriosa regina mundi | HORAE | Gregorius I, Liber responsalis (PL 78, 736 a) | Short lesson | h142",2
"76","Beata mater et innupta virgo gloriosa regina mundi intercede pro nobis ad dominum | Cantus ID 001570 | | Antiphon | h1295",118
"77","Beata mater et intacta virgo gloriosa regina mundi, intercede pro nobis ad Dominum | Cantus ID 001570 | | Antiphon | h143",5
"78","Beata progenies ex qua | HORAE | | Antiphon | h146",3
"79","Beata progenies unde Christus natus est o quam gloriosa est virgo quae caeli regem genuit | Cantus ID 006169 | | Respond | h144",2
"80","Beata progenies unde Christus natus est quam gloriosa est virgo quae caeli regem genuit | Cantus ID 001572 | | Antiphon | h145",1
"81","Beata virgo virginum | HORAE | | Hymn | h147",1
"82","Beatae et gloriosae dei genitricis semper que virginis Mariae intercessionibus quaesumus, omnipotens | Corpus orationum 392 | | Oration | h148",1
"83","Beatae et gloriosae semper que virginis dei genitricis Mariae, quaesumus, omnipotens deus, intercess | Corpus Orationum 393 | | Oration | h149",13
"84","Beatae et gloriosae semper que virginis dei genitricis Mariae, quaesumus, omnipotens deus, intercess | Corpus Orationum 393 | | Oration | h149|Mentes nostras, quaesumus, domine, paraclitus, qui a te procedit, illuminet et inducat in omnem, sic | Corpus Orationum 3333b | | Oration | h755",1
"85","Beatae et gloriosae semperque virginis Dei genitricis Mariae nos, Domine, quaesumus, merita prosequa | Conc. 255 | PL 74 (1160D) | Oration | h12340",2
"86","Beatam me dicent | HORAE | Luke 1:48 | Short lesson | h150",5
"87","Beatam me dicent omnes generationes quia ancillam humilem respexit deus | Cantus ID 001574 | Luke 1:48 | Antiphon | h151",16
"88","Beatam me dicent omnes generationes quia fecit mihi dominus magna quia potens est et sanctum nomen e | Cantus ID 006172 | | Respond | h152",1
"89","Beati evangelistae Iohannis, domine, precibus adiuvemur, ut, quod possibilitas nostra non obtinet, e | Corpus Orationum 413 | | Oration | h4440",1
"90","Beati immaculati in via, qui ambulant in lege Domini. | HORAE | Psalm 118, 1 | Psalm | h160",32
"91","Beati Iohannis evangelistae, quaesumus, domine, supplicatione placatus, et veniam nobis tribue et re | Corpus Orationum 424 | | Oration | h161",1
"92","Beati omnes qui timent Dominum,qui ambulant in viis ejus. Labores manuum tuarum quia manducabis :bea | HORAE | Psalm 127 | Psalm | h163",170
"93","Beatus venter qui te portavit Christe et beata ubera quae te lactaverunt dominum et salvatorem mundi | Cantus ID 001668 | | Antiphon | h167",4
"94","Beatus vir qui non abiit in consilio impiorum, et in via peccatorum non stetit, et in cathedra pesti | HORAE | Psalm 1 | Psalm | h168",56
"95","Benedicite omnia opera domini domino laudate et superexaltate eum in saecula benedicite caeli domino | Cantus ID 920249 | Daniel 3:57 | Canticle | h172",137
"96","Benedicta es et venerabilis virgo cujus viscera merverunt portare dominum | Cantus ID 006165c | | Verse | h1305",1
"97","Benedicta es Maria laus nostra spes et domina te collaudat colit tremit trina mundi machina in tua c | Cantus ID 200635 | | Antiphon | h173",1
"98","Benedicta et venerabilis es virgo Maria quae sine tactu pudoris inventa es Mater Salvatoris | HORAE | Incertus 151, Excerpta ex liturgicis codicibus Fontavellanensibus (PL 151, 910 a) | Short lesson | h174",8
"99","Benedicta et venerabilis virgo Maria cujus viscera meruerunt portare dominum Christum | Cantus ID 006243 | | Respond | h175",1
"100","Benedicta filia tu a domino quia per te fructum vitae communicavimus | Cantus ID 001705 | Judith 13:23 | Antiphon | h176",26
"101","Benedicta tu in mulieribus | Cantus ID 006155za | Luke 1:42 | Verse | h177",26
"102","Benedicta tu in mulieribus | Cantus ID 007958 | Luke 1:28 | Response | h178",1
"103","Benedicta tu in mulieribus | Cantus ID 007971 | Luke 1:42 | Versicle | h179",18
"104","Benedicta tu in mulieribus et benedictus fructus ventris tui | Cantus ID 001709 | Luke 1:42 | Antiphon | h181",192
"105","Benedicta tu in mulieribus et benedictus fructus ventris tui | Cantus ID 006243a | | Verse | h182",52
"106","Benedicta tu in mulieribus et benedictus fructus ventris tui | Cantus ID 006244 | | Respond | h183",1
"107","Benedicta tu in mulieribus. | Cantus ID a01429 | Luke 1:42 | Respond | h184",13
"108","Benedixisti, Domine, terram tuam ;avertisti captivitatem Jacob. Remisisti iniquitatem plebis tuae ;o | HORAE | Psalm 84 | Psalm | h188",17
"109","Bonitatem fecisti cum servo tuo, Domine, secundum verbum tuum | HORAE | Psalm 118, 65 | Psalm | h189",9
